,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,i liked youtube video disney channel stars who fallen from grace,"[16.788928760046563, 24.333802042496586, -10.349866828572956]"
1,1,2018-12-31 23:59:47+00:00,think i just stay home watch classic disney movies,"[-7.59026457247425, 4.23381755722464, -9.906156707053896]"
2,2,2018-12-31 23:59:44+00:00,the fuck disney,"[-1.1850728758740126, -2.3718972204476523, -11.318352114725473]"
3,3,2018-12-31 23:59:38+00:00,shfan shadowhunterstv freeformtv disneystudios disney disneydn disneyabctv well have dark hair &amp; mine sometimes red,"[-3.5623576984355436, -4.138979619350465, -10.767601494248375]"
4,4,2018-12-31 23:59:30+00:00,i’d like mcu true teen spider/peter they didn’t make pseudo miles many said or a faux robin/dick grayson a billionaire trainer/mentor/suit maker/intro large hero team spiderverse intro peter b. parker &gt;&gt;&gt;&gt;&gt; anything disney do w/,"[59.395942393036655, 51.23247618570592, -8.647143885848905]"
5,5,2018-12-31 23:59:28+00:00,chipsandgist disney. apple. amazon. might be same it opens new lane. but definitely disney. these three the ones the deep pockets the will.,"[38.18520117219905, 29.178687668139162, -8.692139723619604]"
6,6,2018-12-31 23:59:24+00:00,illuminations reflections earth the last time year ️ epcot walt disney world,"[-2.621948087548499, 5.801700820099342, -10.580448641463974]"
7,7,2018-12-31 23:59:20+00:00,and two could described the king queen religious hate sponsored aenetworks disney. what benevolent lot.,"[5.731299050471866, 30.68841428885957, -11.288165523251209]"
8,8,2018-12-31 23:59:16+00:00,disney giving free air horns their theme parks the worst decision i’ve seen make a long ass time.,"[24.083000792393793, 8.862328219156495, -12.73795185150027]"
9,9,2018-12-31 23:59:10+00:00,"comic news fantagraphics march solicitations disney, hernandez, more.","[10.466936785061993, 20.361513096874933, -11.079267450751118]"
10,10,2018-12-31 23:59:02+00:00,ringing the new year working i cried minutes the break room everything fine. mkcast unforgettablecast magickingdom disney magic kingdom,"[3.4567659200702012, 5.684047913184415, -10.541972599229737]"
11,11,2019-01-01 23:59:55+00:00,life good this on disney channel,"[-1.2279015286708301, -3.2544689006839254, -12.319621640159248]"
12,12,2019-01-01 23:59:54+00:00,"disney looking a technology sourcing associate graduate internship, corporate fa , apply lakebuenavista job disneyjobs","[34.4952353939901, 32.07763721866376, -11.036065379078352]"
13,13,2019-01-01 23:59:44+00:00,i liked youtube video disney world,"[-1.3999176529054254, -4.738575728092741, -12.040099126787922]"
14,14,2019-01-01 23:59:39+00:00,disney keeps booting off wifi it know im talking pepis,"[5.568107480980008, 7.720253986192347, -10.84423973796175]"
15,15,2019-01-01 23:59:36+00:00,vickitoriana lafamiliaingham ukfamilyfirst chickadee disneydadsuk madambu sarahlucyf disney uk i worked lots autistic children. friends autistic children. youre making look ridiculous so pedantic,"[12.115013337677343, 21.60817640730417, 24.537812481909313]"
16,16,2019-01-01 23:59:33+00:00,watching disney movies feeling sad hello s going,"[-8.109392499786008, 5.742640081130666, -12.206552461683295]"
17,17,2019-01-01 23:59:29+00:00,toy story the best disney movie. i not debate this.,"[8.947545564853176, 16.99520111062335, -12.066665786181844]"
18,18,2019-01-01 23:59:26+00:00,i liked youtube video hide and seek at disney hotel and resort sophia sarah,"[40.11162729225753, 49.521638347073385, -9.781404685318265]"
19,19,2019-01-01 23:59:19+00:00,"kristina blueeyedevil uptotask true, this also assuming there even still is hulu isn’t turned disney , with having that controlling majority the stock.","[18.75341394019566, 31.167767852848627, -10.462193649242238]"
20,20,2019-01-01 23:59:18+00:00,"""i bad, that good. i never good, that not bad. there no one i rather than me."" thank you, disney, all beautiful messages spread across world. ️","[8.943453833250846, 33.54884062701474, -16.905020662300288]"
21,21,2019-01-01 23:59:18+00:00,"say you about mary poppins returns, despite attempts straightwashing disney made jane banks a lesbian icon that the content deserve","[64.54390394134597, 44.966197296674494, -1.4851231234277549]"
22,22,2019-01-02 23:59:42+00:00,disney movies,"[-1.7289793701042548, -2.890485906693606, -11.204202748207042]"
23,23,2019-01-02 23:59:40+00:00,i added video a youtube playlist early night live indiana jones disney’s hollywood studios,"[29.49207517793349, 47.882481409096854, -9.44878620943419]"
24,24,2019-01-02 23:59:25+00:00,i liked youtube video early night live indiana jones disney’s hollywood studios,"[20.158255470507758, 26.424453597785245, -10.676366124754338]"
25,25,2019-01-02 23:59:13+00:00,listening under sea bc makes feel exotic this degree heat. also reminds of orlando disney trip back june,"[38.620374964489535, 30.895824093083874, -11.147839389685387]"
26,26,2019-01-02 23:59:10+00:00,"misselise there are, i love see wolverine done right disney we talking movies","[7.622631161696252, 1.2594761024253525, -11.159905150558316]"
27,27,2019-01-02 23:59:02+00:00,"disney princess magiclip dolls dresses magic clip ariel, belle, snow white ebay ends h last price usd .","[45.72755758336, 36.14588162022102, -0.5532475707595239]"
28,28,2019-01-02 23:58:59+00:00,mrclemps pacing direction things bbs lacks. no one than xehanort vanitas display emotion. characters stand for seconds responding what happening. minutes plot sandwiched hours forgettable disney filler.,"[83.96277699336557, 76.95264773258465, 15.335224002984077]"
29,29,2019-01-02 23:58:55+00:00,"let try analogy might understand. when hire two russian hookers a pimp ,, the pimp spends thousand disney land, pay trip disney land. the pimp did because was his money.","[93.06678486077452, 63.75567404387981, 4.789806118532553]"
30,30,2019-01-02 23:58:48+00:00,ever go somewhere save everything nostalgia? then two years later why the fuck we save disney bag? i pick dog shit,"[2.999797003772703, 0.498765980323554, -10.350688555059932]"
31,31,2019-01-02 23:58:47+00:00,pumbaaguy how the disney animated drawing return pretty fast i crying see disney animal characters.,"[38.191625376599724, 8.291311303288978, -12.308628446937945]"
32,32,2019-01-02 23:58:42+00:00,st puzzle the new year disney littlemermaid,"[-2.1253315794968897, -4.188237364923289, -10.881992669099368]"
33,33,2019-01-03 23:59:59+00:00,not sure long will last it’ll go anywhere i made disney/fairytale account kinda separate topics. please give follow if you’re interested xocinderellie,"[25.013734301451837, 16.406057699378863, -10.433998092282408]"
34,34,2019-01-03 23:59:57+00:00,soulmate disney couple shirts mickey mouse t shirt minnie mouse shirt disney couple shirts disney love shirt valentines day via etsy,"[100.33725834089749, 102.76763786106764, 3.3047206143095735]"
35,35,2019-01-03 23:59:42+00:00,snow white the first disney princess has honored the hollywood walk fame getting nails done inspired disney princesses year of course snow white and…,"[51.868097276185345, 38.28557259424447, 11.24858024662619]"
36,36,2019-01-03 23:59:39+00:00,"jonnysun hello again, parent the main character a disney movie","[17.546526643578954, 15.500644218979886, -10.206176103678146]"
37,37,2019-01-03 23:59:36+00:00,"i liked youtube video film theory disney biggest disasters moana, hercules, lion king...","[20.318559989976098, 17.770635740028908, -11.350270863382775]"
38,38,2019-01-03 23:59:35+00:00,disney cartoon movie marathon choy movieeesss,"[-0.7426718086102142, 6.379315780962948, -11.12069951552391]"
39,39,2019-01-03 23:59:34+00:00,gabcake disney yesyesyes,"[11.054324426388522, 9.875273952792524, -11.061101904566364]"
40,40,2019-01-03 23:59:32+00:00,jonnysun either or you’ll break a big song dance production number disneychannel gunna disney …,"[5.941289558132373, 7.9829600863045584, 1.1437743472914832]"
41,41,2019-01-03 23:59:19+00:00,disney xd having phineas ferb marathon i think i know we’re gonna today,"[-4.710761581472421, 7.654275637926688, -10.676890253610125]"
42,42,2019-01-03 23:59:17+00:00,"designationsix goodbye mcdonalds, walmart, petsmart &amp; disney disappointing my family cannot give money people support fake damaging news.","[29.714377338320336, 14.16345206928105, -2.905072679026688]"
43,43,2019-01-03 23:59:11+00:00,"netflix, disney marvel tv studios save daredevil sign petition via ukchange less away , signatures savedaredevil renewdaredevil daredevilseason charliecox notgivingup worththewait bringbackdaredevil","[23.994693681407906, -3.239154839560513, -10.677993574806038]"
44,44,2019-01-04 23:59:55+00:00,children heading disney killed fiery florida crash via wpri news what disney copy write laws shut and these kids should be aware the ramifications what disney done to effect long term lives.,"[52.39121760880587, 17.04246105256162, 0.7904216286032835]"
45,45,2019-01-04 23:59:54+00:00,charlie i matching tonight. we’re state high see sadertater squirrelgirl disney marvel squirrelgirl state college area high school,"[27.11854567608444, 6.880536014935188, -10.38709748201451]"
46,46,2019-01-04 23:59:52+00:00,"netflix, disney marvel tv studios save daredevil sign petition via change","[16.636259631630846, -5.586407600724755, -10.6651003446892]"
47,47,2019-01-04 23:59:51+00:00,children en route disney world among killed fiery florida crash,"[40.72859017561169, 13.104213385500373, -12.605755250250837]"
48,48,2019-01-04 23:59:50+00:00,"disneyparks comes time the cost greater the value, disney surpassed this, park/ day, . shrinking micky premium. . a soda, a family on a two week vacation, need budget least extra extra the entrance.","[15.143613322830408, 4.524433182027664, 1.917719077928993]"
49,49,2019-01-04 23:59:42+00:00,i added video a youtube playlist dark theories about dead disney characters,"[13.728401886613117, 27.82203934788872, -10.533335854537597]"
50,50,2019-01-04 23:59:41+00:00,"i liked youtube video film theory disney biggest disasters moana, hercules, lion king...","[20.318559989976098, 17.770635740028908, -11.350270863382775]"
51,51,2019-01-04 23:59:24+00:00,disney releases character posters live action dumbo film,"[18.498469243343845, 18.065197761327738, -10.279737136454003]"
52,52,2019-01-04 23:59:22+00:00,ps i applied a job disney world either these jobs would a dream come true. please pray i find something soon thank all &lt;,"[19.86588287274039, 30.76664493143626, -11.623312515074034]"
53,53,2019-01-04 23:59:17+00:00,"""first, think. second, believe. third, dream finally, dare"". walt disney leadership strategy","[33.72055264287467, 32.037593542559286, -10.945807959740598]"
54,54,2019-01-04 23:59:17+00:00,disney named chip dale the chippendales bc thicc no one change mind,"[20.317895756334327, 30.40769485821715, -9.973651314029112]"
