,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,"our latest podcast out. our tech predictions the impromptu video microsoft apple, sony, more. will facebook get hit massive gdpr fine? and a deep dissection how facebook moderates platform. podcast technology","[54.54646309204943, 48.1953171238374, -10.193922167339807]"
1,1,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
2,2,2018-12-31 23:59:04+00:00,new ebay microsoft xbox one s gb white console,"[38.78023276207676, 37.73339049800281, -9.853886246986306]"
3,3,2018-12-31 23:58:46+00:00,jrno microsoft xbox bethesdastudios fallout xboxsupport the point anyways that charge backs get account banned. so a warning.,"[60.059229077037095, 43.61164384382663, 1.722242333585271]"
4,4,2018-12-31 23:58:35+00:00,windowscentral why make articles device specific? why just say windows tablet laptop doesn have ethernet port??? you receive cheque microsoft time mention devices what?,"[46.11912675071179, 40.102042441999245, -9.285263171407124]"
5,5,2018-12-31 23:58:00+00:00,"see signal alliance, microsoft, cisco teaming to help enterprises nigeria improve profitability azure stack","[31.3681400352004, 30.432455553467065, -11.210619995593234]"
6,6,2018-12-31 23:57:57+00:00,avalanchetwitch dawgg got microsoft powerpoint webcam,"[31.543490187940545, 21.73302975169422, 1.3464962666271916]"
7,7,2018-12-31 23:57:55+00:00,"need wake call , i sick microsoft shit , have gotten away pissing off screwing over far long , time something done soon satisfy someone someone please , i be successful something t get my way","[29.129154058082367, 28.245556090476768, 34.351110033535704]"
8,8,2018-12-31 23:57:48+00:00,"join microsoft graph security hackathon use microsoft graph security api solve challenges integrating different solutions, tools, intelligence. , cash prize pool for grabs. graphsecurityhackathon","[105.23817472073883, 73.56823234382625, -8.261388338992518]"
9,9,2018-12-31 23:57:44+00:00,"davekawula sifusun microsoft veeam mvpdays thank for support i hope had happy christmas will a fantastic new year, happy holidays","[37.95604804741908, 36.06197866453115, -18.432858467120298]"
10,10,2018-12-31 23:57:10+00:00,devops overview microsoft azure,"[9.106605697739854, 9.008623575805315, -11.088218626188134]"
11,11,2019-01-01 23:59:44+00:00,new job business sales specialist jobs bc vancouver sale company microsoft location bur,"[47.28954946005933, 56.50278840781202, -9.01568603031022]"
12,12,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
13,13,2019-01-01 23:59:42+00:00,"microsoft xboxsupport xbox i’d like know i would need buy prepaid card renew membership middle december i already paid renew the rd, shown on this heavily censored card statement. i wouldn’t, bc i didn’t.. wtf?","[86.50714350495754, 45.50452207530522, 14.380318847995213]"
14,14,2019-01-01 23:59:41+00:00,help get first ever montage views would mean world mixerstreamersunite lionsdenmixer ignore tags xbox microsoft…,"[41.165847474251194, 30.715996584864556, -10.360272907426435]"
15,15,2019-01-01 23:59:05+00:00,"tln’s creator saying studio “massive business, legal &amp; funding issues” sounds lot like “microsoft pulled plug i publicly hate women”.","[72.84316358042368, 26.35478319687627, 10.636325271903445]"
16,16,2019-01-01 23:58:34+00:00,"""there nothing amusing aboutmit’s psychotic bot norman microsoft’s fascist tay.technologists falling the trap considering ai systems make decisions analogous children, playing dolls marveling their dolly speaking""","[66.73589352052824, 68.8499305653491, 0.988680996227103]"
17,17,2019-01-01 23:58:28+00:00,"reuters terrapower llc, nuclear energy venture chaired microsoft corp co founder bill gates, seeking new partner early stage trials its technology new u.s. rules forced to abandon agreement china, company officials told wsj","[95.91802887539248, 96.57033739394687, -9.70372544227935]"
18,18,2019-01-01 23:58:12+00:00,anikakokatayy babysnitchery ......most people i know smart ass programmers microsoft are indian this girl just??? ?? ?????????????,"[17.453315021881874, 26.16769440610873, -10.687350522896025]"
19,19,2019-01-01 23:57:51+00:00,"passcod eevee case point, microsoft offered automatically translate from romanian. it failed, it already english.","[53.77579216538546, 56.86702684079081, 12.782832531732467]"
20,20,2019-01-01 23:57:49+00:00,"“for intents purposes, we’re years year process moving analog digital,” said tim bajarin, a longtime tech consultant companies including apple, ibm microsoft. digitaldisruption futureofwork","[61.36807217094755, 51.7853314856969, -8.595601047737944]"
21,21,2019-01-01 23:57:22+00:00,", year nuetral youtube gamers talk how microsoft changing brand.","[27.435809274767852, 18.695519638134606, 1.90780480557126]"
22,22,2019-01-02 23:59:51+00:00,simonj neo “microsoft included separate software the office software [on desktop computers] regularly sends telemetry data its servers the united states.”,"[76.66215937295016, 75.88564128366828, 3.329814911364025]"
23,23,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
24,24,2019-01-02 23:59:13+00:00,maburgosjr xbox microsoft should’ve looked the reviews youtube buddy fuckedyourself finessed,"[38.16303668740534, 38.68015523340858, -9.498295285817314]"
25,25,2019-01-02 23:58:00+00:00,rt pzerger join insider program the coming chrome powered microsoft edge windows browser,"[49.35816505267453, 38.33104048052422, -10.339990521973291]"
26,26,2019-01-02 23:57:45+00:00,visionary fatkittyrun dayz well test patches the system obviously it easier implement pc don have jump microsoft sony hoops kind common knowledge days consoles have very strict restrictions updates,"[55.22546934551348, 72.26081919901064, 10.573670023717895]"
27,27,2019-01-02 23:57:39+00:00,the grand tour game pre order ./£. via microsoft store,"[33.89933424678509, 33.57607192944772, -9.185302075056413]"
28,28,2019-01-02 23:57:24+00:00,windows finally surpasses windows the popular operating system from tomcnamara microsoft microsoft windows,"[28.308029098723058, 33.66429145194624, -9.269457527565876]"
29,29,2019-01-02 23:57:18+00:00,"simonj neo if company uses microsoft office even a desktop , are sharing contents the data documents. of course part used improving spell checking etc. one to remember that there not real privacy office suite.","[66.80295644544806, 80.13840939572152, 16.360197665655974]"
30,30,2019-01-02 23:57:15+00:00,dirty tech microsoft board member caught funding dems&amp; ; anti roy moore operation,"[75.16673494269956, 67.1782043890942, 1.1920938706445838]"
