,Time,Text
0,2019-01-01 23:35:52+00:00,trengriffin ritholtz munger a valuable manager at does one continue hold berkshire hathaway the basis his stewardship continuing?
1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
2,2019-01-01 23:30:04+00:00,sold n walden elms circle rental berkshire hathaway homeservice spring realestate
3,2019-01-01 23:30:04+00:00,sold rainwood park lane rental berkshire hathaway homeservice spring realestate
4,2019-01-01 22:54:46+00:00,"twist my arm susglobal energy snrg to reveal new significant investment in company from berkshire hathaway brk, announcement pending fsugy ckvlf qegy gers tnppe riv vffif toopa kholy gdlnf boch cagdf nghcn ghc fco orrf peyuf arrrf"
5,2019-01-01 22:53:54+00:00,read how warren buffett found berkshire hathaway.
6,2019-01-01 22:23:10+00:00,this an opportunity won want pass up. let talk landforsale home forsale realestate bhhsfloridarealty househunting goodtoknow goodtoask floridaliving floridarealestate homesweethome berkshirehathaway
7,2019-01-01 22:13:55+00:00,"your move t messy you work a real estate pro let talk your options today. marvette cofield, associate broker, berkshire hathaway homeservices select"
8,2019-01-01 22:07:45+00:00,should you buy some berkshire hathaway stock? thestreet
9,2019-01-01 22:01:33+00:00,"reclaimed materials really give home cool edge. take tips design pros find how find implement reclaimed pieces renovations eric l hanson, pa, real estate agent berkshire hathaway..."
10,2019-01-01 21:49:03+00:00,"start a bit wisdom one the successful investors all time ""the important investment can make in yourself."" — warren buffett, business magnate ceo berkshire hathaway."
11,2019-01-01 21:40:52+00:00,berkshire hathaway make world safer place making us listen acid rock.
12,2019-01-01 21:20:09+00:00,i put together tour would love get thoughts it floridaliving goodtoask goodtoknow bhhsfloridarealty floridarealestate realestate forsale homesweethome home househunting berkshirehathaway
13,2019-01-01 20:44:06+00:00,should you buy some berkshire hathaway stock? via thestreet
14,2019-01-01 20:40:21+00:00,"what the must have feature your next home? sandy martin realtor gri, cne berkshire hathaway"
15,2019-01-01 20:26:31+00:00,"a new year means new chapter my professional life. here to berkshire hathaway home services anderson properties enid, ok"
16,2019-01-01 20:18:12+00:00,do know someone looking a great property vero beach? please pass along heretohelp bhhsfloridarealty goodtoknow realestate goodtoask forsale floridaliving home floridarealestate househunting homesweethome berkshirehathaway
17,2019-01-01 20:02:05+00:00,"why you should not for sale by owner. seriously click picture below to get all the info. alan taylor, realtor and trusted real estate advisor with berkshire hathaway real estate. helping every family feel confident when buying and selling a home...."
18,2019-01-01 19:28:28+00:00,check what i added my closet poshmark berkshire hathaway years service in. via poshmarkapp shopmycloset
19,2019-01-01 19:17:08+00:00,"do know anyone looking a home like this, tag home forsale realestate bhhsfloridarealty goodtoknow househunting goodtoask floridaliving floridarealestate homesweethome berkshirehathaway"
20,2019-01-01 18:35:52+00:00,thank great i love working hard for my clients marc fagan realtor berkshire hathaway homeservices
21,2019-01-01 18:35:17+00:00,"from of us berkshire hathaway homeservices greenwood, hope had wonderful holiday season happy new year bhhsgreenwood trustedadvisor happynewyear"
22,2019-01-01 18:15:19+00:00,"just listed this beautiful bed bath t on market long. call, text direct message for details. berkshire hathaway homeservices premier properties th st. s. fargo, nd"
23,2019-01-01 18:03:20+00:00,chairman ceo berkshire hathaway
24,2019-01-01 18:01:09+00:00,this living room probably meant kids. parents able pick all things could be broken right away. lesley gambino berkshire hathaway home services
25,2019-01-01 18:00:27+00:00,i put together tour would love get thoughts it househunting home forsale realestate bhhsfloridarealty goodtoknow goodtoask floridaliving floridarealestate homesweethome berkshirehathaway
26,2019-01-01 17:46:47+00:00,have quick second? take look this tour i created... floridaliving goodtoask floridarealestate goodtoknow bhhsfloridarealty realestate homesweethome forsale home househunting berkshirehathaway
27,2019-01-01 17:27:45+00:00,thank to client joann merenda berkshire hathaway home services choosing baker inspection group your home inspection needs modesto morning. homeinspector…
28,2019-01-01 17:07:30+00:00,"if had acreage like this, would use for? goodtoask goodtoknow floridaliving bhhsfloridarealty realestate floridarealestate forsale home homesweethome househunting berkshirehathaway"
29,2019-01-01 17:02:23+00:00,truebubblehead should told you want share berkshire hathaway haha
30,2019-01-01 17:01:43+00:00,it’s time unfold new pages start new chapter your life it’s new year. happy new year carla goddard new home specialist berkshire hathaway homeservices flpg
31,2019-01-01 17:00:26+00:00,"may year one your best yet. happynewyear freshstart berkshire hathaway homeservices premier properties th st. s. fargo, nd"
32,2019-01-01 16:45:23+00:00,"billgates melindagates perhaps obvious state, billgates case study how a man evolve. thank for contributions, esp berkshirehathaway. my son fav person spot shareholders mtg, shy say hello xbox"
33,2019-01-01 16:42:09+00:00,download berkshire hathaway homeservices koenigrubloff app &gt; chicagorealestate text app
34,2019-01-01 16:41:48+00:00,"different types stress require different coping strategies. lifetips mentalhealth berkshire hathaway homeservices premier properties th st. s. fargo, nd"
35,2019-01-01 16:36:23+00:00,almorenorealtor senategop gop housegop time berkshire hathaway customers aware your hate.
36,2019-01-01 16:22:57+00:00,check tour let know you think home forsale realestate bhhsfloridarealty goodtoknow househunting goodtoask floridaliving floridarealestate homesweethome berkshirehathaway
37,2019-01-01 16:20:01+00:00,"the best you yours , all us berkshire hathaway homeservices zack shore realtors. happy new year"
38,2019-01-01 16:05:36+00:00,looking the perfect piece land? check my listing verobeach land floridarealestate floridaliving goodtoask goodtoknow bhhsfloridarealty homesweethome realestate forsale home househunting berkshirehathaway
39,2019-01-01 15:49:06+00:00,do have big goals re trying reach ? nate holstege berkshire hathaway
40,2019-01-01 15:40:49+00:00,need help your real estate transaction? click for help. the lawrence team doug &amp; sherry lawrence berkshire hathaway homeservices...
41,2019-01-01 15:33:03+00:00,real estate listing agent – berkshire hathaway homeservices florida properties – tampa job tampa
42,2019-01-01 15:20:14+00:00,happy berkshire hathaway homeservices texas realty here to fresh start make your best year yet . . . happynewyear freshstart bhhstxrealty realestategoals berkshire hathaway homeservices texas realty | ..
43,2019-01-01 15:12:29+00:00,"media birthday gretchen tipps hagertipps , marketing director berkshire hathaway homeservices hardy, va., turns today."
44,2019-01-01 15:03:22+00:00,holidaze previously travel insurance underwritten only two companies. lloyd or alliance. now is new player berkshire hathaway. so is flexibly buy you not starting travel your home country.
45,2019-01-01 15:01:00+00:00,berkshire hathaway specialty may expand product offerings dubai office. reinsurance news
46,2019-01-01 14:48:47+00:00,be great year real estate new goals overcoming challenges. making changes adding opportunities real estate investments you can wait berkshire hathaway homeservices text
47,2019-01-01 14:39:44+00:00,"happy th birthday, charlie munger today berkshire hathaway’s vice chairman charlie munger’s th birthday. happy birthday, charlie berkshire hathaway chairman warren buffett . happy new year everyone"
48,2019-01-01 14:39:05+00:00,"happy new year noelle we there support help, more work. be great year berkshire hathaway homeservices"
49,2019-01-01 14:35:10+00:00,"oducoachwilder odufootball happy new year can wait see those"" monarchs"" win the ""priority auto"" club champions berkshire hathaway homeservices"
50,2019-01-01 14:01:24+00:00,berkshire hathaway laffey international wishing an amazing happynewyear
51,2019-01-02 23:46:16+00:00,"at end the second quarter, berkshire hathaway reported . billion cash equivalents . billion short term investments u.s. treasury bills, can essentially considered cash liquidity purposes. this adds to . billion."
52,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
53,2019-01-02 23:41:08+00:00,"warren buffett apple stake made track record tech even worse, technology reports . and bopinion taralach said , makes good berkshire hathaway investment? nobody knows anymore"
54,2019-01-02 23:41:01+00:00,"shares apple tanked wednesday after hours trading following company announcement it lowering q guidance. with apple’s than drop share prices, buffett’s berkshire hathaway could down . billion, via cnbc"
55,2019-01-02 23:32:14+00:00,"give life fresh boost a home upgrade. is the one? homesforsale berkshire hathaway homeservices first, realtors"
56,2019-01-02 23:29:13+00:00,"markets tick up slightly but tomorrow could be ugly apple nosedives, plus mh market updates investing stocks affordablehousing faang openmarkets manufacturedhomes housingchoice choice manufacturedhousinginstitute claytonhomes berkshirehathaway"
57,2019-01-02 23:26:48+00:00,make property own contact for showing today. realestate land goodtoknow bhhsfloridarealty goodtoask realestate floridaliving forsale floridarealestate home homesweethome househunting berkshirehathaway
58,2019-01-02 23:25:22+00:00,linxben tim cook berkshire hathaway taking significant beating its aapl position..estimates loss excess bil value . apple
59,2019-01-02 23:20:21+00:00,"this is it the home ve looking for. bed bath. check the tour berkshire hathaway homeservices premier properties th st. s. fargo, nd"
60,2019-01-02 23:11:15+00:00,berkshire hathaway paid /share million shares aapl. the shares trading now tweet from real money pro doug kass aapl benzinga
61,2019-01-02 23:05:09+00:00,home capital group inc. saw decrease share prices berkshire hathaway inc. announced they would selling of stakes. see impact had. finance|
62,2019-01-02 23:00:15+00:00,"thank u, next interior design trends that are so over | berkshire hathaway homeservices metro realty bhhs goodtoknow goodtoask"
63,2019-01-02 22:56:52+00:00,"santa clarita valley real estate sales stats berkshire hathaway homeservices january nd scv mls statistics newhall, stevenson ranch, valencia, castaic, saugus, canyon country, santa..."
64,2019-01-02 22:56:29+00:00,"santa clarita valley real estate sales stats berkshire hathaway homeservices january nd scv mls statistics newhall, stevenson ranch, valencia, castaic, saugus, canyon country, santa clarita..."
65,2019-01-02 22:48:51+00:00,"with political fix elusive ever, large employers signaling are fed current state health insurance dysfunction. an effort jpmorgan chase &amp; co., inc. berkshire hathaway inc. attempting deal with rising costs"
66,2019-01-02 22:45:42+00:00,apple bought back billions its shares the top. buffett berkshire hathaway bought billions apple shares the top. think that.
67,2019-01-02 22:44:30+00:00,shout to newest member the lafayette berkshire hathaway team lafayetterealty
68,2019-01-02 22:35:42+00:00,brk.a brk.b new home financing rules will help berkshire hathaway mobile home business
69,2019-01-02 22:35:19+00:00,good ol’ fud the brightest media burials bitcoin berkshirehathaway bear bearmarket authentication bitcoin
70,2019-01-02 22:34:54+00:00,i put presentation together for i love get thoughts. homebuyer floridaliving floridarealestate goodtoask goodtoknow bhhsfloridarealty realestate homesweethome forsale home househunting berkshirehathaway
71,2019-01-02 22:31:57+00:00,"if could go back time talk your younger self, advice would give buying home? berkshire hathaway homeservices gallo realty"
72,2019-01-02 22:27:47+00:00,berkshire hathaway paid /share million shares aapl. the shares trading now. cnbcfastmoney riskreversal jimcramer tomkeene michaelsantoli sic transit gloria.
73,2019-01-02 22:26:10+00:00,happy have great week feel free reach if need real estate assistance year pacificbeachlive gellens realtor berkshirehathaway
74,2019-01-02 22:25:49+00:00,looking the perfect piece land? check my listing verobeach land goodtoask floridaliving goodtoknow bhhsfloridarealty floridarealestate realestate forsale homesweethome home househunting berkshirehathaway
75,2019-01-02 22:24:15+00:00,"don automatically follow ""whales,"" even warren buffett berkshire hathaway brk.b berkshire lost approximately billion apple shares its peak price four months ago . does anyone believe s&amp;p eps estimates held the consensus?"
76,2019-01-02 22:02:19+00:00,"berkshire hathaway inc class a brk a price close, .. good job warrenbuffett wmwpres"
77,2019-01-02 22:00:10+00:00,"""the best investments i’ve made been cults. i observed apple, berkshire hathaway, bitcoin &amp; spacex. up close, i saw in action at stripe &amp; ethereum. you cannot pay best people work you. they need mission believe in."" richardburton"
78,2019-01-02 21:56:25+00:00,"no matter you feel technology, future ""smart homes"" coming soon read some the predictions pitfalls this new industry. berkshire hathaway homeservices fnr from bungalows beachfronts"
79,2019-01-02 21:53:54+00:00,lessons/conclusions aapl be skeptical company buybacks don automatically follow whales even warren buffett berkshire hathaway do own homework does anyone believe s&amp;p eps estimates held the consensus? realmoney jimcramer saraeisen
80,2019-01-02 21:21:20+00:00,you to see to believe it. contact for details realestate land goodtoknow bhhsfloridarealty goodtoask realestate floridaliving forsale floridarealestate home homesweethome househunting berkshirehathaway
