,Time,Text
0,2019-01-01 23:54:27+00:00,"chrisnelder meetthepress chucktodd and my broadcast least one ads show exxonmobil. todd mention the lawsuits xom others, asking the panelists whether were good idea."
1,2019-01-01 23:51:20+00:00,realdonaldtrump very strange uk still sticking high pump prices despite huge fall in worldwide crude oil price iran self producing its petroleum and longer buying imports cmagovuk shell bp plc total exxonmobil uk cartel
2,2019-01-01 23:38:05+00:00,yettanie exxonmobil happy new year also
3,2019-01-01 23:32:23+00:00,mzjacobson dan kammen about discussing openly the biggest shareholder/investors us fossil fuels including warren buffett billgates mtbarra ford goldmansachs fidelity vanguard group chevron shell exxonmobil
4,2019-01-01 23:00:41+00:00,"of players still alive the qatar exxonmobil open, andrey rublev the youngest y, doha"
5,2019-01-01 22:06:08+00:00,galacticos wins exxonmobil futsal festival stabroek news...
6,2019-01-01 22:06:07+00:00,galacticos wins exxonmobil futsal festival stabroek news...
7,2019-01-01 21:59:27+00:00,moments day two qatar exxonmobil open atp qatartennis exxonmobil djokernole ceck domithiem pierrehuguesherbert
8,2019-01-01 21:52:45+00:00,"exxonmobil, cnpc, empresa, kogas galp secure offtake commitments the rovuma lng project"
9,2019-01-01 21:44:47+00:00,"french tennis player pierre hugues herbert the victor his match no. world ranked dominic thiem the qatar exxonmobil open tennis championship , phugz thiemdomi qatarexxonmobil atp qatartennis"
10,2019-01-01 21:36:19+00:00,"novak djokovic dominated opening round the qatar exxonmobil open tennis championship bosnian tennis player damir dzumhur taking sets , djokernole dzumhurdamir qatarexxonmobil atp qatartennis"
11,2019-01-01 21:33:44+00:00,"simonahac angustaylormp privatization profitshifting taxhavens as fake debt like bhp riotinto chevron exxonmobil ato gov au come agreements pay some tax avoided, asx dont suspend trading fake financials wealthtricklesup corruptiontricklesdown"
12,2019-01-01 21:22:42+00:00,exxonmobil shelves lng export project canada fx forex finance
13,2019-01-01 21:11:52+00:00,presumptuousbug bethlynch gop realdonaldtrump vp epa whitehouse senatemajldr speakerryan housegop senategop nancypelosi senschumer ipcc ch unfccc sensanders senwarren aoc sunrisemvmt drjillstein joshfoxfilm jimmy dore miserablelib ronplacone millenpolitics greenpartyus humanistreport leecamp kylekulinski johniadarola theyoungturks saudi aramco gazpromen iranianoilbrk coalindiahq netl doe rosneften cnpc adnocgroup exxonmobil pemexglobal shell sonatrach dz official kpc bp plc qatarpetroleum peabodyenergy time the us end fossil fuel subsidies via nrdc
14,2019-01-01 21:06:41+00:00,mozambique area partners secure buyers rovuma lng project exxonmobil
15,2019-01-01 20:59:49+00:00,exxonmobil currently trying get several controversial tax exemptions approved br. now is filing early paperwork a new round possible tax breaks via theadvocatebr
16,2019-01-01 20:50:30+00:00,delighted fans meet stars exxonmobil qatar stand
17,2019-01-01 20:44:47+00:00,exxonmobil how aspiring employees like us?
18,2019-01-01 20:27:03+00:00,ebay deal exxonmobil gas physical gift card for only – free st class delivery
19,2019-01-01 20:09:38+00:00,"qatar exxonmobil open st round pierre hugues herbert beat dominic thiem ,"
