,Time,Text
0,2019-01-01 22:37:40+00:00,"attorney general david eby calls icbc . billion loss ""dumpster fire"" canadanewsmedia"
1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
2,2019-01-01 22:00:35+00:00,trust tedcorvsupplies langley. an icbc approved repair shop &amp; bbb accredited podcast sponsor
3,2019-01-01 21:37:59+00:00,cruelboyy icbc
4,2019-01-01 21:29:17+00:00,franktmcveety robmeekel lets forget icbc hikes food hikes etc etc.
5,2019-01-01 21:11:15+00:00,"critiklthinking icbc thanks derek, happy new year you"
6,2019-01-01 20:32:56+00:00,the bcndp wants be the banking business. fix icbc first. neverndp bcpoli
7,2019-01-01 20:19:42+00:00,jtrudeaus charliekuss no peace in a gang ridden society. icbc crime
8,2019-01-01 19:35:08+00:00,"odienewwest jjhorgan what slashing msp premiums? largest tax cut b.c. history there. one year they totally eliminated british columbia’s better it. lao, the extra spending and still balanced budget without pilfering crown corporations like icbc."
9,2019-01-01 19:26:00+00:00,a spokesman province’s insurance authority saying the message regarding drinking driving remains relevant. acumenlaw autoinsurance insurance icbc claims
10,2019-01-01 18:25:51+00:00,"jjhorgan what stalling housing market, adding taxes, increasing icbc rates? taking credit reaching our pockets more, more, greedy getfinancialsavey"
11,2019-01-01 17:33:02+00:00,wallace drive is road portion centennial trail the saanich peninsula cyclists not need beg respect cyclinfg saanichpolice icbc yyjtraffic yyj
12,2019-01-01 17:03:05+00:00,"rt icbc happy new year please note all icbc locations closed today, except dial claim learn"
13,2019-01-01 17:02:38+00:00,start newyears right planning saferidehome. the vpd out day night watch drivers impaired alcohol drugs. counterattack dontdrinkanddrive icbc maddonline
14,2019-01-01 17:01:57+00:00,"happy new year please note all icbc locations closed today, except dial claim learn"
15,2019-01-01 16:36:43+00:00,bc attorney general address icbc huge financial losses am pt canadanewsmedia
16,2019-01-01 16:30:55+00:00,"drivesmartbc no suggestions, curious. looking forward hearing icbc months see actuals. hopefully start releasing comprehensive reports that one t to make foi data wait year for answers. happy new year tim"
17,2019-01-01 16:27:04+00:00,"critiklthinking i took most recent years icbc reported totals, averaged, divided and use to increment total based the date. crude, that my skill level. suggestions??"
18,2019-01-01 16:03:45+00:00,jjhorgan except another pointless carbon tax coming icbc rates going so exactly i saving money
19,2019-01-01 15:29:56+00:00,very well written letter regarding icbc fiasco.
20,2019-01-01 05:55:18+00:00,"checking something my bucket list, participating an escort driver ornose drivesafe icbc"
21,2019-01-01 05:29:58+00:00,"sheilagunnreid its liisa crooks benefit crimes, protect criminals. icbc crime report"
22,2019-01-01 04:44:38+00:00,cyclingsaoirse saanichpolice icbc what would rather do? slam their brakes hold traffic behind them?
23,2019-01-01 04:26:04+00:00,why to endanger life their squeeze play me they passed double solid turnoff seconds later they could have in a tha much a hurry saanichpolice icbc yyjtraffic yyj cycling cyclist
24,2019-01-01 04:03:31+00:00,surreyrcmp icbc whiterockrcmp bcrcmptraffic stay safe
25,2019-01-01 02:17:38+00:00,"surreyrcmp diannewattsbc icbc whiterockrcmp bcrcmptraffic alcoholawareness alcohol group toxic carcinogen no safe amount anytime,including don drink drive"
26,2019-01-01 02:11:24+00:00,"right mla when was transportation minister increased speed limit, in turn according icbc increased number accidents. righto believing anything says, typical bc liberal goading the ruling party."
27,2019-01-01 02:03:07+00:00,"here picture the lying sack shit ran a red light hit sarah i my truck. of course, told icbc the light green. good times."
28,2019-01-01 02:00:20+00:00,get home safely holiday season. cannabis reduces ability drive cannabis paired alcohol compounds impairing effect. icbc counterattack cannabisbc getcannabisclarity
29,2019-01-01 01:39:25+00:00,maybe send david eby likes fix things like icbc. just added million loss.
30,2019-01-01 01:09:24+00:00,icbc berlin conference schedule speakers panelists topics cannabis
31,2019-01-01 01:00:55+00:00,"kirstenmg elizabethmay i decided i’d rather keep money give to icbc, oil companies, the government."
32,2019-01-01 00:33:23+00:00,"rt icbc break the bubbly, s nye have fabulous time tonight &amp; safe. see in"
33,2019-01-01 00:30:10+00:00,"break the bubbly, s nye have fabulous time tonight &amp; safe. see in"
34,2019-01-02 23:57:58+00:00,"the british columbia utilities commission bcuc approves interim icbc application a . per cent rate increase. this applies all new renewal policies an effective date or april , ."
35,2020-09-25 21:11:51+00:00,the world’s rigorous clinical trials mean covid vaccine be tested tens thousands patients approval.
36,2019-01-02 23:56:31+00:00,news icbc of course do..... they ever say no????
37,2019-01-02 23:54:55+00:00,icbc’s . per cent rate hike approved april interim basis
38,2019-01-02 23:52:38+00:00,icbc’s . per cent rate hike approved april interim basis
39,2019-01-02 23:50:48+00:00,news icbc yikes
40,2019-01-02 23:49:32+00:00,icbc . per cent rate hike approved april interim basis
41,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
42,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
43,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
44,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
45,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
46,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
47,2019-01-02 23:42:06+00:00,utilities commission approves icbc’s interim . rate hike
48,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
49,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
50,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
51,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
52,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
53,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
54,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
55,2019-01-02 23:42:05+00:00,utilities com missionbc approves icbc’s interim . rate hike
56,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
57,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
58,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
59,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
60,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
61,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
62,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
63,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
64,2019-01-02 23:42:04+00:00,utilities commission approves icbc’s interim . rate hike
