,Time,Text
0,2019-01-01 23:56:24+00:00,"why big oil conquered the world examines rockefellers standard oil, british royals bp, dutch royals the rothschilds royal dutch shell founded the environmental movement the un. explores background eugen…"
1,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside."
2,2019-01-01 20:36:55+00:00,how many royal dutch shell plc rdsa analysts are bullish?
3,2019-01-01 18:24:15+00:00,very good news indeed royal dutch shell revealed ambitious plan double investments renewableenergy green tech economy
4,2019-01-01 16:47:12+00:00,royal dutch shell plc transaction own shares. days ago. rdsa
5,2019-01-01 14:53:37+00:00,reviewing bp prudhoe bay royalty trust bpt &amp; royal dutch shell rds.b
6,2019-01-01 08:40:06+00:00,royal dutch shell rds.a earns hold rating zacks investment research
7,2019-01-01 08:38:44+00:00,royal dutch shell rds.a given hold rating zacks investment research
8,2019-01-01 06:37:25+00:00,royal dutch shell plc transaction own shares
9,2019-01-02 22:20:12+00:00,"royal dutch shell announces , job losses bid buy company"
10,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
11,2019-01-02 21:46:34+00:00,china licenses royal dutch shell unit the first fully foreign owned trader the wholesale oil market government pushes open sector.
12,2019-01-02 19:42:28+00:00,"london, jan. , /prnewswire/ royal dutch shell plc company nyse rds.a nyse rds.b announces on nd january purchased following number of..."
13,2019-01-02 19:42:20+00:00,royal dutch shell plc transaction own shares
14,2019-01-02 19:35:31+00:00,royal dutch shell plc transaction own shares
15,2019-01-02 18:44:28+00:00,bbc news royal dutch shell ties executive pay carbon reduction
16,2019-01-02 17:31:07+00:00,oil rallied lows caused swing both bp royal dutch shell. bp getting c.p intraday to close at p.
17,2019-01-02 17:13:28+00:00,nestlé beats royal dutch shell become top europe
18,2019-01-02 15:47:47+00:00,"monov the dutch royal family the royal dutch shell owned directly via intermediaries almost entire donbass its industries. they dutch financed own ""republic"" ukraine, a part division ukraine the major players."
19,2019-01-02 14:19:41+00:00,royal dutch shell considering bidding rights develop offshore wind farms british waters anglo dutch oil major seeks re enter the uk sector a ten year absence. more good news towards decarbonisation industry
20,2019-01-02 14:15:05+00:00,royal dutch shell considering bidding develop offshore wind farms british waters it seeks re enter uk sector paywall
21,2019-01-02 13:27:16+00:00,world largest oil &amp; gas companies . royal dutch shell . exxonmobil . chevron . total . sinopec . petrochina . bp . gazprom .rosneft . reliance industries forbes
22,2019-01-02 09:29:00+00:00,royal dutch shell considering bidding rights develop offshore wind farms british waters emilygosden
23,2019-01-02 08:06:08+00:00,"global basic petrochemical market exxon mobil, royal dutch shell, lyondellbasell industries n.v. sabic"
24,2019-01-02 05:05:14+00:00,valuable companies general electric royal dutch shell coca cola nippon telegraph exxon mobil valuable companies google microsoft amazon facebook apple not order what happened? networks happened.
25,2019-01-02 04:51:49+00:00,"happynewyear please include your newyearsresolutions boycotting royal dutch shell saying torture, humanexperimentation, to fuck when someone says isn an invitation to react violence retaliation"
26,2019-01-03 20:17:06+00:00,royal dutch shell rds.a highpoint resources hpr critical survey markets
27,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
28,2019-01-03 20:17:06+00:00,royal dutch shell rds.a highpoint resources hpr critical survey stocks
29,2019-01-03 20:14:55+00:00,comparing royal dutch shell rds.a highpoint resources hpr
30,2019-01-03 18:48:34+00:00,"oil companies support price carbon. why t andrew scheer? royal dutch shell billion “if trump go the path a carbon tax, not lose resolve. we should stick..."
31,2019-01-03 18:42:34+00:00,shell tabangao refinery life royal dutch shell plc saddled a mountain d...
32,2019-01-03 18:41:41+00:00,shell tabangao refinery life royal dutch shell hardline attitude its employe...
33,2019-01-03 18:37:45+00:00,royal dutch shell plc transaction own shares
34,2019-01-03 18:35:31+00:00,royal dutch shell plc transaction own shares
35,2019-01-03 18:33:18+00:00,shell tabangao refinery life resurrection kiobel v royal dutch shell litigat...
36,2019-01-03 18:15:05+00:00,shell tabangao refinery life royal dutch shell hydrogen news
37,2019-01-03 17:29:29+00:00,"dividendmaster the report lng canada – royal dutch shell – kitimat, british columbia interesting play i in cveo"
38,2019-01-03 16:07:03+00:00,"with royal dutch shell linking executive pay specific carbon footprint reduction goals, other industries follow suit? via houstonmatters"
39,2019-01-03 15:35:05+00:00,royal dutch shell eyes world’s second largest shale play shell argentina announced it proceed the first stage development its vaca muerta project. oil naturalgas
40,2019-01-03 14:50:21+00:00,royal dutch shell ignore the noise and keep buying shares
41,2019-01-03 14:41:18+00:00,royal dutch shell ignore the noise and keep buying shares
42,2019-01-03 14:32:54+00:00,royal dutch shell plc adr rds.a receives . average price target brokerages
43,2019-01-03 14:30:27+00:00,analysts set royal dutch shell plc adr rds.a target price . stocks
44,2019-01-03 14:30:26+00:00,analysts set royal dutch shell plc adr rds.a target price .
45,2019-01-03 13:59:05+00:00,new post royal dutch shell ignore the noise and keep buying shares royal dutch shell plc nyse rds.a been published fundswift
46,2019-01-03 13:53:30+00:00,rds.a rds.b royal dutch shell ignore the noise and keep buying shares
47,2019-01-03 12:25:06+00:00,"royal dutch shell thought efforts become greener enough it announced ambition reduce relative net carbon footprint ncf within three decades . activists pressed more, saying plan lacked actionable st.."
48,2019-01-03 12:03:12+00:00,zacks investment research reaffirms hold rating royal dutch shell rds.a
49,2019-01-03 12:01:50+00:00,zacks investment research reaffirms hold rating royal dutch shell rds.a markets
50,2019-01-03 08:30:00+00:00,"read about future public safety today fintalk , daily fintech newsletter subscribe to get such fintech updates accenture waycare ava royaldutchshell motorola"
51,2019-01-03 07:39:18+00:00,"global petcoke gasification market analysis – royal dutch shell, sedin, kepco uhde siemens"
52,2019-01-03 06:35:31+00:00,"but again, barack obama actions speak louder his words. just prior his trip alaska, obama approved deepwater drilling lease royal dutch shell resume oil gas exploration the chukchi sea, north alaska."
53,2019-01-03 03:40:18+00:00,royal dutch shell eyes world’s second largest shale plays anne kings
54,2019-01-03 03:34:12+00:00,royal dutch shell eyes world’s second largest shale plays
55,2019-01-03 03:22:05+00:00,royaldutchshell obtains wholesale oil license china
56,2019-01-03 03:01:20+00:00,pays . yield. it inte...royal dutch shell plc a stocks finance stockmarket stockpicks rds.a n
57,2019-01-04 22:59:14+00:00,"i liberal is out taxing rich yeah, i know was the . now tax rate sound perfect for oil execs their corporations like exxonmobil eu bp uk koch industries chevroncr marathonpetroco royaldutchshell oxy petroleum."
58,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
59,2019-01-04 19:27:20+00:00,royal dutch shell plc transaction own shares. days ago. rdsa
60,2019-01-04 18:43:42+00:00,"london, jan. , /prnewswire/ royal dutch shell plc company nyse rds.a nyse rds.b announces on th january purchased following number of..."
61,2019-01-04 18:43:35+00:00,royal dutch shell plc transaction own shares
62,2019-01-04 18:36:37+00:00,royal dutch shell plc transaction own shares
63,2019-01-04 18:30:04+00:00,royal dutch shell plc transaction own shares
64,2019-01-04 18:00:03+00:00,"royal dutch shell says set carbon reduction goals cover periods three five years. the targets will be set an annual basis, run ."
65,2019-01-04 16:40:13+00:00,very good news indeed royal dutch shell revealed ambitious plan double investments renewableenergy green tech economy
66,2019-01-04 15:32:53+00:00,great interview royaldutchshell using climatechange metrics its ceo pay packages. if aural learner even you are not s lot interesting stuff here. i t agree w of it.
67,2019-01-04 14:15:09+00:00,joint statement institutional investors behalf climate action royal dutch shell plc shell actonclimate shell
68,2019-01-04 10:15:51+00:00,royal dutch shell rdsb shareholders are liking the news that rbc capital markets has reiterated their outperform rating the stock
69,2019-01-04 10:15:19+00:00,royal dutch shell rdsb rating reaffirmed analysts rbc capital markets today
70,2019-01-04 10:14:53+00:00,royal dutch shell rdsb outperform rating has just been reiterated rbc capital markets
71,2019-01-04 10:13:58+00:00,royal dutch shell rdsb rating reiterated rbc capital markets today
72,2019-01-04 09:24:37+00:00,"shell oil rds.a stock moves . what you should know want latest recommendations zacks investment research? today, can download best stocks the next days. click get free report royal dutch shell plc..."
73,2019-01-04 09:09:29+00:00,"shell oil rds.a stock moves . what you should know want latest recommendations zacks investment research? today, can download best stocks the next days. click get free report royal dutch shell plc rds.a free stock analysis report …"
74,2019-01-04 04:48:14+00:00,eps royal dutch shell plc rds.a expected at .
75,2019-01-04 04:48:06+00:00,royal dutch shell plc rds.a analysts see . eps
76,2019-01-04 04:48:04+00:00,analysts see . eps royal dutch shell plc rds.a
77,2019-01-04 04:47:58+00:00,royal dutch shell plc rds.a eps estimated at .
78,2019-01-04 01:41:47+00:00,"shellenbergermd agoraew who pays bills these clowns, agora energiewende? royal dutch shell? gazprom? i take long odds a significant part their funding traces back one those two."
