,Time,Text
0,2019-01-01 23:59:51+00:00,when i a kid i terrified getting lost walmart i thought kids all kidnapped at walmart.
1,2019-01-01 23:59:42+00:00,"realdonaldtrump and tariff chinese goods like sales tax when the goods sold walmart ""made in china"" many the communities trumpland only walmart shopping option, guess you imposed a ""tax"" a lot your ""base"""
2,2019-01-01 23:59:34+00:00,walmart tennessee volunteers
3,2019-01-01 23:59:34+00:00,missimuffini well i bought headset walmart
4,2019-01-01 23:59:33+00:00,"cameronahmad it be interesting see add liar your resume. will you just state experience you misled canadians about years? that be problem, you applying that new job walmart tick tock cameron."
5,2019-01-01 23:59:18+00:00,"products made china go, are listening walmart target kohls . we an opportunity americans make products america. not are consumers, have to be the manufacturers. start business year. chase help americans start businesses."
6,2019-01-01 23:59:05+00:00,candrahastings walmart t refund the headset a different serial number the box
7,2019-01-01 23:58:50+00:00,sweepstakesmania giving away gift card walmart month
8,2019-01-01 23:58:21+00:00,look i found my local walmart. bts twt
9,2019-01-01 23:58:12+00:00,ledgewood walmart on death row supercenter approved
10,2019-01-01 23:58:04+00:00,warriors walmart my favorite warriors moment
11,2019-01-01 23:57:48+00:00,"paddlecamper shaunking walmart potus i could care less i get ""yelled"" at. this twitter. i never meet you. i never meet person ""yells"" me. this greatest forum the world sharing opinions no repercussions. example realdonaldtrump all the dumb shit tweets..."
12,2019-01-01 23:57:36+00:00,caseyru yes. it more walmart. it’s real deal.
13,2019-01-01 23:57:34+00:00,no. catch at local walmart asleep the ball cage gripping onto titties dear life
14,2019-01-01 23:57:28+00:00,"shenotkaaay thequeencourt running makes lose weight like crazy, get slim fast shakes walmart &amp; drink every morning weeks . you’ll see huge difference"
15,2019-01-01 23:57:26+00:00,abulxo start a buddy system
16,2019-01-01 23:57:16+00:00,walmart tamanna walmart thank for supporting gift is promisebyjimin jimin약속 bts twt jimin are proud you &amp; talents ️
17,2019-01-01 23:57:12+00:00,rbaldridge you give walmart brand kylee jenner vibes
18,2019-01-01 23:57:02+00:00,"redhotdealer meowmarjorie sherrycarter me my small grown medium last years, &amp; that’s a ladies medium a juniors but sizes days can’t trusted some those mediums walmart really xs my / jeans turned an xl some walmart sweatpants but can see like food"
19,2019-01-01 23:56:57+00:00,free walmart spray enter like retweet follow me winner picked hours fortnite happynewyear fortnitebr fortniteseason fortnitebattleroyale giveaway walmartfortnite walmartspray
20,2019-01-01 23:56:31+00:00,"tip , suggest basic chapstick you find local drugstore/walmart etc. personally, i’ve problems eos lip balms the past. would cause lot irritation, this could be allergic reaction. other words, know your balms xoxo"
21,2019-01-01 23:56:29+00:00,girl says locking heart for naw needs be legs open like doors walmart /
22,2019-01-01 23:56:23+00:00,shaunking pissedpolack walmart the description the suspect fits about every texas man a red truck.
23,2019-01-01 23:56:10+00:00,our walmart didn’t any those pokémon cookies
24,2019-01-01 23:55:58+00:00,trippin did i just remember the weston walmart subway a long ass time ago
25,2019-01-01 23:55:53+00:00,ive never seen walmart a bk
26,2019-01-01 23:55:49+00:00,walmart isn’t only retailer already winning
27,2019-01-01 23:55:38+00:00,"brianna who you fan of, brianna?"
28,2019-01-01 23:55:34+00:00,"ybncordae lol u got money homie, buy shits. u get whole set like walmart. ‍️‍️"
29,2019-01-01 23:55:29+00:00,"natetylerdogg got em walmart today, never tried them, had small bite had captain crunch taste it"
30,2019-01-01 23:55:18+00:00,designationsix disney mypillowusa nestle walmart sharperimage starkist duluthtradingco bestwestern enterprise nerdwallet redlobster gothamsteel petsmart chewy aarp ihop c’mon chewy petsmart don’t lose customers this..
31,2019-01-01 23:55:13+00:00,kamalaharris walmart that a lot less maybe need common sense. at rate is the government job provide healthcare. as adults is own responsibility.
32,2019-01-01 23:55:03+00:00,"smh does walmart take apple pay. see could had whole transcation, i willing be citizen today instead got robbed cus i didnt my wallet. jokes them janst"
33,2019-01-01 23:54:47+00:00,pewdiepie turn walmart a mountain
34,2019-01-01 23:54:43+00:00,i can’t think a awkward feeling sitting while walmart pickup order loaded your car.
35,2019-01-01 23:54:30+00:00,i can’t not stop wawa everytime i go walmart
36,2019-01-01 23:54:21+00:00,"i liked youtube video super mega ""i about to have baby "" grocery shopping haul | walmart pick up |"
37,2019-01-01 23:54:14+00:00,are going shop my place walmart
38,2019-01-01 23:54:11+00:00,"just found cash back slot walmart. sorry, don’t hate player hate the game"
39,2019-01-01 23:54:11+00:00,blumspew mike daniels if were a u.s. walmart d considered overdressed.
40,2019-01-01 23:54:04+00:00,. walmart thank and happy new ear you too.
41,2019-01-01 23:54:00+00:00,"i at walmart supercenter louisville, ky"
42,2019-01-01 23:53:43+00:00,mine walmart birthday cake bowl
43,2019-01-01 23:53:20+00:00,jaberuski walmart birthday cake bowl
44,2019-01-01 23:53:18+00:00,"thepioneerwoman my sister law received as gift, purchased walmart hand washed after use. can tell us this normal the design the cup wash away? she sent email your company, no response, can done? thanks any help..."
45,2019-01-01 23:53:10+00:00,walmart i placed order grocery app the first time. specifically picked store the diapers i needed. i got the email it’s ready. i drive of way this specific store there’s diapers. manager nowhere around help. i would would like price match.
46,2019-01-01 23:53:08+00:00,traptomcruise maybe but i t get upset maga hat even though i t fuck trump. i saw dude wore when i in walmart i just laughed myself i t take the hat serious
47,2019-01-01 23:53:06+00:00,which walmart went to get fireworks
48,2019-01-01 23:52:38+00:00,im gonna bigger walmart
49,2019-01-01 23:52:31+00:00,"notclevertom if find lambrusco grape juice. truly just grape juice, i know people make claim lot, i not like wine all i like lambrusco. it also one those can buy like gallon jug walmart if you want lol"
50,2019-01-01 23:52:27+00:00,talking an old stoner friend super excited legalization. asked how first ocs experience went. he says arrived quickly san rafael was mediocre mid best “fuck government walmart pot” i take he’s impressed ‍️
51,2019-01-02 23:59:53+00:00,shaunking walmart my heart aches this family beautiful little jazmine may killer found soon brought justice. may god give comfort her parents survivors embrace rip little jazmine
52,2019-01-02 23:59:38+00:00,you belong with me is playing at walmart i stan clap clap
53,2019-01-02 23:59:37+00:00,damn walmart. i came glue and agenda. why i walk around??? ugh
54,2019-01-02 23:59:34+00:00,i checked at walmart supercenter yelp
55,2019-01-02 23:59:19+00:00,"like my arget gift card idk to buy like clothes?? idk they sell bts albums oof wish i had walmart gift card instead,,,they have got albums nct"
56,2019-01-02 23:59:02+00:00,talbertswan walmart dillonsgrocery mcdonalds silent tears
57,2019-01-02 23:58:53+00:00,"i liked youtube video manhunt underway, houston "" year old"" girl ḵỉllẹd in walmart parking lot"
58,2019-01-02 23:58:38+00:00,sweepstakesmania giving away gift card walmart month
59,2019-01-02 23:58:38+00:00,bad times the el royale k walmart
