,Time,Text
0,2019-01-01 23:51:55+00:00,"c mon wellsfargo credit card pizza pool float ad, tip the delivery guy ? via youtube"
1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
2,2019-01-01 23:51:14+00:00,"roseparade wellsfargo annemarie this sucked bad. i wanted see floats bands, some unknown person lipsyncing."
3,2019-01-01 23:49:49+00:00,"glennthrush gm makes plans close auto plants, harley davidson moving production overseas, carrier still moving mexico, wells fargo bank laying s thousands moving operations offshore, wall street biggest december decline since , whatev say."
4,2019-01-01 23:46:29+00:00,who says elizabeth warren unlikeable? maybe wells fargo executive rightfully skewered a senate hearing?
5,2019-01-01 23:46:22+00:00,malickviews wells fargo agrees million settlement affecting states wake fake accounts via usatoday
6,2019-01-01 23:45:02+00:00,latimes i cannot understand wells fargo still allowed be business. only explanation corruption.
7,2019-01-01 23:44:29+00:00,wells fargo debt collection calls spark class action lawsuit
8,2019-01-01 23:43:09+00:00,it and wells fargo still bank
9,2019-01-01 23:42:36+00:00,wellsfargo third largest us bank systematically scammed own customers to . it opened . million unauthorized bank credit card accounts customers’ names illegally charged clients financial services never signed for. bankrun
10,2019-01-01 23:42:11+00:00,it and wells fargo still bank
11,2019-01-01 23:41:33+00:00,shannonlukens ask wellsfargo so annoying
12,2019-01-01 23:40:04+00:00,"""they destroyed me."" wells fargo mistake forced to sell home"
13,2019-01-01 23:38:30+00:00,yo fuck wellsfargo
14,2019-01-01 23:38:02+00:00,"more customers sharing stories wellsfargo ""computer glitch"" caused lose homes. michaela lost battle to save vegas home. five years later, the bank admits made mistake. ""you t put price what lost."""
15,2019-01-01 23:33:03+00:00,what better way begin year wellsfargo decline transactions due fraud alert. the trans cause alert a autopayment s going thru years. nothing like embarrassed not able spend own
16,2019-01-01 23:32:42+00:00,"java developer apps systems engineer java/jee developer – apps systems engineer description wells fargo skip main content close – careers home – about us – about us overview – who we are overview – vision, values, goals overview –…"
17,2019-01-01 23:30:51+00:00,fuck wellsfargo burn in a fiery hell you fucking assholes
18,2019-01-01 23:29:17+00:00,"donnelly espnjudd on top wells fargo building, inside the ids crystal court, red bull’s crashed ice track..."
19,2019-01-01 23:29:03+00:00,wellsfargo haaaahahaha do business bandits?
20,2019-01-01 23:20:58+00:00,getting rid my wells fargo savings ... that’s done .
21,2019-01-01 23:18:24+00:00,fines settlements since paid wells fargo bank
22,2019-01-01 23:17:49+00:00,wyshynski that less the wells fargo center regular season games
23,2019-01-01 23:17:40+00:00,onemycelium savagejoymarie rtyson if wells fargo given campaign contribution kamalaharris like stevenmnuchin
24,2019-01-01 23:17:05+00:00,be leaving wellsfargo good if believe good financial future will follow lead.
25,2019-01-01 23:16:15+00:00,theyre evil this y need bank regulators notice . mil they’re getting gop tax cut to lay k ‘they destroyed me.’ wells fargo’s mistake forced to sell home. the washington post
26,2019-01-01 23:15:55+00:00,ryanflorence make sure wellsfargo not scammed too
27,2019-01-01 23:14:52+00:00,they destroyed me. wells fargo mistake forced to sell home los angeles times
28,2019-01-01 23:10:50+00:00,georgetakei hillary in bed goldman sachs elizabeth warren telling wells fargo employees should prosecuted. coke great if choice pepsi tab guess i going with.
