,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:38+00:00,"i honestly believe going whydontwemusic year. i know people say every year, something is telling it’s gonna be . jonahmarais jackaverymusic corbynbesson imzachherron seaveydaniel keri seavey mytaherron kdancing maybe another album ‍️","[-7.9909081452860375, 5.914289960591603, -10.984259339014883]"
1,1,2018-12-31 23:59:30+00:00,jennavalley cvs/rite aid the best playlists consistently,"[11.101834804864753, 8.421085434978856, -11.92338806096081]"
2,2,2018-12-31 23:57:13+00:00,cvs doesn’t any big bags salt vinegar chips wtf is sick twisted,"[61.02512973455926, 48.628450443059535, -12.540348076532084]"
3,3,2018-12-31 23:55:52+00:00,"meryjanee all ja’s got kids , kissing cousin cv’s got","[-2.9403622665156517, -3.5130202774397508, -10.951404341562615]"
4,4,2018-12-31 23:55:10+00:00,happy new year,"[-0.22584810776178021, -4.516890973127218, -13.07883829659443]"
5,5,2018-12-31 23:54:34+00:00,that said bought four c today cvs ctsh cmcsa stz consellation brands should probably avoid,"[25.91924709291656, 7.905053049241559, -9.83925630738706]"
6,6,2018-12-31 23:51:45+00:00,"hey benlikestocode , i at cvs get emergen c","[7.753190436405046, 9.202835622002645, -10.670506139722242]"
7,7,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
8,8,2018-12-31 23:51:37+00:00,"[dino cv] according fuuta, i the number mafioso cares the safety his subordinates well civilians. thanks [ dinobot]","[29.7524304822819, 28.53998234720421, -12.5740854721995]"
9,9,2018-12-31 23:49:28+00:00,"turbodog i looking forward our eventual tag team this, for now; i give some cv energy smash that... i might join on ds ones; you romscoutsda get energy bit push forward.","[38.10050240030562, 50.69981670104504, -8.502260548756126]"
10,10,2018-12-31 23:47:20+00:00,quasimotto mellowwiish emunz cvs lingerie “small percentage” hahahahha also name not google. i don’t someone else’s research free. if you’re willing pay i’ll the research,"[51.02252231511432, 53.01296753179135, 2.9816069589501524]"
11,11,2019-01-01 23:58:23+00:00,vamosgirl can imagine? she tells assistant hey pick pantyhose me cvs also you call foster care a kid i adopt?,"[38.97332033253371, 29.83844298894647, -9.211108712702014]"
12,12,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
13,13,2019-01-01 23:58:02+00:00,cv lgus hailed th regional competitiveness summit,"[-0.7877047008268783, -0.8014515112560958, -11.773135307611565]"
14,14,2019-01-01 23:56:06+00:00,millenasilvaam se quiser cvs chama na dm,"[19.33821757612662, 20.661617689325276, -11.555691647799776]"
15,15,2019-01-01 23:55:35+00:00,ranger i holding open interviews cooter. please send cv &amp; current pics via dm,"[38.48547608494427, 27.42474156790969, 2.4013928729189615]"
16,16,2019-01-01 23:55:24+00:00,"hello gq middle east hiring. we’re looking ️ a talented diligent deputy editor an ambitious, clever digital editor we’re three issues young, making smart, entertaining stories the region. send a cv a note you adambaidawi[at]gmail","[71.58168591118411, 59.38440426103071, 11.543169680222618]"
17,17,2019-01-01 23:54:42+00:00,"jmuagba clearly this, head holds nothing. i started seeing as questionable character. gap dey his cv head. he just another.....","[60.59485997631095, 43.64040061863453, -9.319662192931403]"
18,18,2019-01-01 23:52:00+00:00,professional cv / resume template word matching cover letter template jobs,"[47.875589896275756, 39.700896139025915, -9.62255199529811]"
19,19,2019-01-01 23:51:58+00:00,lukeace potam did send cv anywhere?,"[-3.75611495908215, -4.512156387563337, -10.85941855078983]"
20,20,2019-01-01 23:51:50+00:00,curiouszelda omg without doubt one the coolest photos ever discovering was one the coolest things last year ready oh ahh you an entire year,"[-2.2721014747020076, 16.90932798674298, 9.617967938371507]"
21,21,2019-01-01 23:51:36+00:00,"[dino cv ? ] i called ""bucking horse dino"", ""haneuma"", just ""dino"" [ dinobot]","[5.152214549987403, 7.785703693501986, -10.884580029757984]"
22,22,2019-01-02 23:59:14+00:00,“what’s insta?” translates “show cv” today’s digital dating world. she wants go size guesstimate net worth your outfit and lifestyle well investigate the girl tagged is. those follow are your references. standard,"[66.02714178078757, 47.381380077954006, 1.99157396777791]"
23,23,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
24,24,2019-01-02 23:57:18+00:00,"becka singleton theacademy had google ""cv"". in america, i never heard called anything than résumé.","[-6.223727169485865, -5.148020213358478, -10.359330326634122]"
25,25,2019-01-02 23:56:41+00:00,samuel pollen how actually reading cv? abiding age discrimination laws? not readvertising the same job every day pretending s new?,"[41.720732763345715, 49.68768590778694, 14.31008631575736]"
26,26,2019-01-02 23:55:33+00:00,"calling pr superstars � we looking fresh little pineapples join us . if are looking work experience fast paced agency have a passion publicity, want hear you email cv amy.mcintyre thepineapplerepublic.com �","[29.75445386768546, 26.710031661568863, 1.7917298169166003]"
27,27,2019-01-02 23:55:18+00:00,“walking broken glass” came cvs me the guy in the cold &amp;flu aisle started bopping reflexively,"[15.33423524063345, 11.315489665413473, -11.190651605164334]"
28,28,2019-01-02 23:55:08+00:00,"trevmckendrick nickjbasile yes i wanted write ""cv failures"", i think could a cathartic experience me cautionary tale others","[17.07098484739217, 16.59767072285723, -9.809730894119951]"
29,29,2019-01-02 23:55:05+00:00,is one the first people get pen licence ur class something u put ur cv,"[4.515409305775454, 5.941497338344917, -9.591654680945027]"
30,30,2019-01-02 23:55:02+00:00,joelrubin cvspharmacy and is cvs promised cut length its receipts cvs receipt,"[33.38599355109293, 34.22408661613698, -10.126900713656426]"
31,31,2019-01-02 23:53:55+00:00,venkmurthy anish koka yairgranot jnmafi davidlbrownmd boback profhayward willsuh khurramn agreed. fine line balance. our stringent criteria selects high cardiovascular risk. participation clinical trial other exclusions likely weed the high non cv risk burden.,"[75.4367567884965, 65.96190645443029, 14.717271293707554]"
32,32,2019-01-02 23:53:31+00:00,"misse hi there, take matters seriously understand importance receiving rx time. can please dm us your full name, phone number the cvs location your rx filled? thank you.","[76.29296089719732, 110.49124375717095, 1.408054919749091]"
33,33,2019-01-03 23:59:17+00:00,"couldn muster energy hit the gym tonight, i find enough strength walk cvs pick frozen snickers bars so, know, baby steps.","[91.80451765677188, 87.88519263573853, -7.488389496419856]"
34,34,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
35,35,2019-01-03 23:58:02+00:00,hahahaha,"[-0.05235716577655691, 8.82630201901136, -11.781365806748079]"
36,36,2019-01-03 23:57:33+00:00,finallevel i love daily games these kinds tweets also should put all together a book,"[19.242682033576006, 21.824214981631883, -10.940342463016322]"
37,37,2019-01-03 23:57:30+00:00,just putting out any producers might following. i looking more theatre television work year. so you going be casting paid projects please take look my spotlight cv playing age,"[27.265579072249427, 46.51408899773385, 2.2549131471889012]"
38,38,2019-01-03 23:56:07+00:00,"type ibuprofen recalled from walmart, cvs, family dollar, etc.","[30.018500850517068, 18.734746134406237, -10.31344701696704]"
39,39,2019-01-03 23:56:00+00:00,modern cv template cover letter template ms word jobs resume,"[40.65296773079852, 51.35847425882779, 2.1612098919917386]"
40,40,2019-01-03 23:55:46+00:00,"edokeefe ewarren she t any native american ancestry. however, used supposed family legends lore job applications, cvs, etc advantage over competition things like harvard professorships. disqualifying she t one your pet dems.","[88.65120908291166, 40.72474044366622, 2.4766424423725226]"
41,41,2019-01-03 23:55:12+00:00,sisterssavingucents cvs deals you must do / / cvs cvsdeals cvsfreebies cvscouponing couponlife couponfamily couponcommunuity,"[49.49243026050951, 32.14408320721423, -9.362846800369354]"
42,42,2019-01-03 23:55:11+00:00,cvs x nfclangaming i’m trying join,"[10.036202095441052, 7.8736699148637825, -10.617747986326144]"
43,43,2019-01-03 23:55:04+00:00,jonahmarais same jonahmarais maybe can see other there...,"[-5.553467674628226, -4.023440710675118, -10.756581964739247]"
44,44,2019-01-04 23:59:55+00:00,"cyberfrontier afterellen golriz not human rights lawyer lied political party website her cv. in reality, was on the defence team genocidal rwandan war criminals.","[27.440794145830854, 29.54700439562008, -10.589812233907452]"
45,45,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
46,46,2019-01-04 23:59:54+00:00,"i feel uncomfortable every time i go cvs now. some women like be hit but, me. it makes feel gross. now i t even get prescriptions without feeling like skank.","[52.894760180177336, 26.975865710858855, 11.436964929787578]"
47,47,2019-01-04 23:59:49+00:00,"another example why need health insurance reform. cvs, health insurers’ bids manage medicare part d prescription drug plans seniors been consistently in ways benefit companies the expense taxpayers via wsj","[79.88873058215928, 72.44475674336311, -7.600483121712372]"
48,48,2019-01-04 23:59:37+00:00,"the utaus the singer list me currently gahata meiji, kasane teto,keto meri cv act ,namine ritsu,czloid, a more.","[7.522769752888924, 15.945533450554322, -11.408328089383062]"
49,49,2019-01-04 23:59:37+00:00,blacksuncreates omg hate cvs. when took the pharmacy my target said was lying never one when called get script changed. also never answer phone. sorry u to deal that. hopefully get sheet together.,"[0.14939627468460936, 27.614989241407628, -11.645067320865664]"
50,50,2019-01-04 23:59:23+00:00,we looking an experienced dynamic sales rep join team cover saskatchewan/manitoba territory. please forward cv info perfectoptical.ca,"[11.182927862859476, 16.13664582419115, 0.9107924910508274]"
51,51,2019-01-04 23:59:22+00:00,thelightalex all of her products are in cvs,"[9.663668441035075, 8.590505932310897, -10.738725606001005]"
52,52,2019-01-04 23:58:20+00:00,recentlysarah exactly. prioritize matters you. and say rest. esp you not need to be cv whore. hashtag academia.,"[-2.053887078396097, 19.972792615319285, -12.649125127373708]"
