,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:59:54+00:00,how train amazon’s alexa recognize different peoples’ voices your household voicesearch,"[25.824289998295193, -3.393862700085713, -10.645835356633754]"
1,1,2020-11-10 04:57:22+00:00,our best selling fire tv alexa. starting .,"[18.373346870949714, -3.6249137586891753, -11.736045074210757]"
2,2,2019-01-01 23:59:54+00:00,dantwitwit freetotweet torontostar ddale collect share million trudeau plans give msm. fire daniel dale. put out it misery. sell buildings amazon. offer daniel dale job taping boxes. watch the share price go up. there a reason it lost it value years.,"[97.8097246096391, 105.56702201940892, -5.9932074768765204]"
3,3,2019-01-01 23:59:53+00:00,"cosmic carol well done have read amazon got contact chile, analyse data telescopes.","[41.73129325240489, 30.821970932232297, -10.080308178416828]"
4,4,2019-01-01 23:59:52+00:00,fat sushi roll amazonhelp newegg yikes. amazon a joke.,"[50.74213731507144, 31.57358307433904, -10.536866546341756]"
5,5,2019-01-01 23:59:47+00:00,has anyone used brand? with i need make real small servings freeze and look like just what i need. amazon,"[24.656453288905727, 7.88004292688133, -9.99516670790318]"
6,6,2019-01-01 23:59:45+00:00,amazon wanted make sure is scam,"[9.800027355641014, -1.2166680210187484, -11.551108957573305]"
7,7,2019-01-01 23:59:41+00:00,kanyewest learn self reliant none stuff phase you. read this bestselling book to learn “the devil a lie the seven keys success.” available amazon. you’ll thank later.,"[81.27950802284543, 57.002194992647574, -9.850269730352537]"
8,8,2019-01-01 23:59:40+00:00,in evening kakicchysmusic mp downloads amazon prime,"[21.606753558887835, 9.975802642792814, -11.193984464051404]"
9,9,2019-01-01 23:59:36+00:00,"tinywaifu take first test without textbook, don’t well can rent off amazon. or you someone else your class cant pitch to rent at beginning the year and share it.","[32.979140579602976, 37.562483441513294, -7.683508320375793]"
10,10,2019-01-01 23:59:35+00:00,"in one chart how one investor’s amazon misfire led a loss his trading account december , wallst","[49.08195286291654, 12.253104717842021, -12.002363111466849]"
11,11,2019-01-01 23:59:31+00:00,anyone know to archive/hide orders amazon the app?,"[17.34687260787477, 9.578992922365693, -10.518842698022425]"
