,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:59:56+00:00,plsgib apple juice,"[-0.15728178565300088, 7.758092083129837, -11.424264632983846]"
1,1,2020-10-15 14:23:37+00:00,"sick slow charging? switch anker nano get mind blowing charging speeds. anker nano w output fast charge new iphone, ipad, apple watch and airpods still small enough fit your pocket.","[79.3746888472631, 79.2116720411734, -10.450064778330002]"
2,2,2019-01-01 23:59:52+00:00,apple patents depict three new products that could transform tech brand,"[18.306660810441567, 17.991952924596085, -10.004809727566936]"
3,3,2019-01-01 23:59:49+00:00,armorsuit apple watch screen protector review series via youtube,"[14.20795257921488, 4.663228627694224, -9.946872010944816]"
4,4,2019-01-01 23:59:44+00:00,"a reasonably priced monitor photography editing bigger issue holding from building photography editing rig windows . i’m really love macos, really don’t see a system i’m happy in apple’s current lineup.","[97.38704647360552, 52.153411463496596, -1.7174378509468369]"
5,5,2019-01-01 23:59:43+00:00,the first abomination panerabread taking away apple cinnamon muffins,"[7.687776735616954, 18.47953980231533, -10.57810774011481]"
6,6,2019-01-01 23:59:43+00:00,"from hush hush apple meeting mysterious executive departures, the important tech stories business insider reported","[27.799371529758798, 5.2987922909804155, -10.786344841277526]"
7,7,2019-01-01 23:59:43+00:00,"erin bartram americanatheist apples oranges, give what you a real question be asked, it a fact poor people have less resources create opportunity.","[43.34889113948187, 28.985097872511716, -9.705336479193619]"
8,8,2019-01-01 23:59:41+00:00,i spent minutes working with apple health. loseit,"[-5.760099925582639, -3.993103544810602, -10.669944902086392]"
9,9,2019-01-01 23:59:41+00:00,i spent minutes working with apple health. loseit,"[-5.760099925582639, -3.993103544810602, -10.669944902086392]"
10,10,2019-01-01 23:59:40+00:00,saying here first. apple juice underrated,"[7.6459692993392965, 17.963554656267057, -10.886812751776297]"
11,11,2019-01-01 23:59:35+00:00,"cosmicfunkonaut pat rt dosnostalgic so, this game, reason remember differently would that apples either color monochrome. the monochrome tends be green, hence the memory.","[68.73451073272251, 73.00307968198983, -7.767854810578243]"
12,12,2019-01-01 23:59:25+00:00,did apple retail prices get high ? consumers say yes. applenews technologynews technology technews millennials tuesdaythoughts technologies newyearsresolution happynewyear mondaymotivaton ipadpro ipadpro iphone iphonexs,"[40.43885413777444, 31.008222064559902, 2.402319726629713]"
13,13,2019-01-01 23:59:25+00:00,"mylesgorham i t see type help often you make out sound. to say remmers help laughable. in fact compton the lesser the evils season imo. apples oranges i guess. as i said, let re visit in july. you see a competition that lt spot.","[31.69864560791196, 31.937732160719108, 3.7397217127854248]"
14,14,2019-01-01 23:59:24+00:00,ronlinkins johansanchez pragmtcsanction churchofsatan rustyfable ooraidersoo bryanjfischer someone needs do research.....who first person the call evil bible commit sin lie fake god the so called apple with adam eve lol,"[22.47261908693041, 11.97267383668084, -10.461083740151722]"
15,15,2019-01-01 23:59:20+00:00,"burnerwill giantinsider raiders buccaneers jaguars you a point, eli apple comes mind...","[20.93158592848258, 8.415017361651948, -10.971586599934682]"
16,16,2019-01-01 23:59:19+00:00,apple juice orange juice?,"[10.336295333625667, 18.251669202408507, -11.029423131236761]"
17,17,2019-01-01 23:59:09+00:00,kenjeong el tigre chino dishing some knowledge west side there an emoji i’d use but it’s clearly awesome that apple forgot add xd,"[27.562828465507256, 13.48323032171713, -12.528738809797929]"
18,18,2019-01-01 23:59:03+00:00,netflix kills app subscriptions apple hardware,"[31.63930252160149, 30.19011391256036, -10.131526543102346]"
19,19,2019-01-01 23:59:01+00:00,especially baudelaires get apples offer to the islanders ishmael prevents when he’s immune no one else,"[14.621824260572598, 29.841382386376246, -9.712958265450908]"
20,20,2019-01-01 23:58:58+00:00,literally love new walkie talkie app the apple watch. i annoy robinsonashton / now.,"[7.672921782000732, 14.184454166135893, -11.987636065280071]"
21,21,2019-01-01 23:58:51+00:00,"applesupport since release ios , apple keyboard doesn’t work my . ipad pro. it appears be known issue. is anything done? i went the apple store. they willing give a new keyboard except they longer carry them?","[76.13785717619031, 91.3436823681506, -6.434357731199768]"
22,22,2019-01-01 23:58:41+00:00,"the love of my life, my sunshine, the apple of my eye,","[17.889231947181212, 6.653684177560642, -11.542074570166761]"
23,23,2019-01-01 23:58:37+00:00,"to apple my eye, may birthday filled lots indulging goodies year. daughter, remind of birthday cake; are full of…","[20.320413801921806, 13.676072564838051, -10.858508926908527]"
24,24,2019-01-01 23:58:36+00:00,random dumber generator what happened to apple in ?,"[4.337475215778359, 6.783509538125813, -10.433169450836168]"
25,25,2019-01-01 23:58:33+00:00,"reedsscott birdz stone notre dame gets preferential treatment getting their p games home home guarantee games home. also, g schools can’t schedule than p games, nd schedule . apples oranges.","[80.25700653103375, 47.993786446851075, 3.3507514166077073]"
26,26,2019-01-01 23:58:31+00:00,tellmytales soy apple.,"[9.617431321505844, 9.519449199571305, -11.088218626188134]"
27,27,2019-01-01 23:58:31+00:00,iamdrkk baderxeea mkbhd so? it shows you use apple music an android.,"[9.673988253119315, 5.799101735253991, -10.5702860412269]"
28,28,2019-01-01 23:58:30+00:00,nick boyd power move changing to apple butter,"[26.56643242344857, 17.259895007566442, -10.12369735770804]"
29,29,2019-01-01 23:58:27+00:00,"notre dame gets preferential treatment getting their p games home home guarantee games home. also, g schools can’t schedule than p games, nd schedule . apples oranges.","[68.37713505063515, 46.171624624836355, -8.529120063790899]"
30,30,2019-01-01 23:58:25+00:00,stabbed face the stick my candy apple pierced when i want in for bite,"[5.927215151886775, 19.107350063876694, -10.997077998369278]"
31,31,2019-01-01 23:58:14+00:00,guys i think i flexed hard apple airpods my year old co workers have too,"[6.504609267816865, 10.357429058962012, -11.542543068808328]"
32,32,2019-01-01 23:58:11+00:00,"carlruiz pie wins it versatile. chicken pot pie, shepard pie, apple pie, pecan pie.....","[44.0076010854489, 62.345347525097665, -9.989039836458389]"
33,33,2019-01-01 23:58:05+00:00,apple watch? ️ trumpet? ️ puppster,"[-0.8632873819928844, -2.3300199280406653, -11.413641026622763]"
34,34,2019-01-01 23:58:01+00:00,happy new year celebrating making first tsvetaeva apple pie scratch. tsvetaevaapplepie homemade scratchbaking applepie tsvetaeva,"[12.85858196750856, 26.43172536677929, -13.163914091392513]"
35,35,2019-01-01 23:58:00+00:00,vegan high protein apple pie smoothie pie,"[23.39109467801502, 52.57313196325374, -10.798611157385452]"
36,36,2019-01-01 23:58:00+00:00,owlpharaohx apple pie,"[-0.4449638581047808, 8.163557191238004, -11.306481597327458]"
37,37,2019-01-01 23:57:57+00:00,bigsparklybows sounds like apple needs mind fucking business,"[-2.743316119198961, 2.8302864713564584, -11.614105505889533]"
38,38,2019-01-01 23:57:50+00:00,also here’s reminder giveaway any information need it be this tweet on the discord server stream streamer giveaway twitch twitchtv apple itunes itunescard,"[60.345740461614106, 50.888480503605734, -8.396827895941911]"
39,39,2019-01-01 23:57:49+00:00,"“for intents purposes, we’re years year process moving analog digital,” said tim bajarin, a longtime tech consultant companies including apple, ibm microsoft. digitaldisruption futureofwork","[61.36807217094755, 51.7853314856969, -8.595601047737944]"
40,40,2019-01-01 23:57:48+00:00,always remember tuck apple mac before going sleep,"[-5.667423727849804, 5.309562555912315, -10.336946950787016]"
41,41,2019-01-01 23:57:47+00:00,summarized one bar. this apple ready drop? spx es stocks,"[-1.4926260125085122, -2.470981322045269, -11.783711448432356]"
42,42,2019-01-01 23:57:42+00:00,"petermarteka contents molten lava, artificial cherry apple flavoring, extremely artificial food coloring, incredibly artificial ingredients preserve, color, flavor, texture, vitamin c. imlovinit","[37.50841194923665, 45.099123397897976, -12.501830483854263]"
43,43,2019-01-01 23:57:39+00:00,on sale iphone xs max screen protector tempered glass [edge edge protection] apple iphone xs max,"[43.35743258839734, 52.991421890975325, -11.619481044080516]"
44,44,2019-01-01 23:57:39+00:00,haven’t heard apple alarm sound weeks.. tomorrow morning looking painful.,"[20.872490985738413, -3.144509027715117, 0.3376852705883451]"
45,45,2019-01-01 23:57:33+00:00,johnnyzcash lol apple juice apple pie apple sauce. all apple everything,"[13.500334403876185, 24.976641182739627, -10.640351014871541]"
46,46,2019-01-01 23:57:32+00:00,callherlisa omg other person made caramel/chocolate apple rolled a cheeto crumble. i’m literally shook,"[20.954186334597072, 10.586027539785917, 0.759030971544874]"
47,47,2019-01-01 23:57:23+00:00,idleconxn enjoyrntomorrow apple cant keep damn charge,"[9.266466611287253, -0.9631560813196747, -11.877117468549926]"
