,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:55:07+00:00,dear bankofamerica last months you’ve blocked from removing rent due “fraud.” i’ve called every time requesting remove whatever the fuck is have my account. it happened today. so congrats you’ve lost year customer cuz y’all suck,"[44.33932600427405, 47.80320494393369, -10.717172731458064]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 23:42:57+00:00,stuck in a rut bank of america boa confirmation of new non toxic shareholder friendly line of credit for resort savers rssv frcpe tphs agnu ix calb pdlb twopa bspm hurc bhtg utmd mpx nwvcf vlypb inqd ctv nnomf coda xtgrf hdynq rykky,"[16.57956661276454, 39.76184501632187, 0.6214660406626109]"
3,3,2019-01-01 23:42:26+00:00,interesting news bank america the blockchain. blockchain markethive atm,"[0.5334233274261322, 25.600919659466562, -12.30776769205255]"
4,4,2019-01-01 23:25:37+00:00,projects nh corridors credainational indiabuilders indiaeximbank indiajapanforum tradegovukevent makeinindia smartcityfeed dsei event dmgeventsglobal worldbank ciieonline bankofamerica usispforum teamcait worldofconcrete worldofasphalt,"[31.431264133247648, 21.96871953348914, -11.397147911362076]"
5,5,2019-01-01 23:14:04+00:00,in astrology tiger monkey enemy signs walmart tiger target tiger dollar tree tiger bank of america tiger goodwill tiger usa founded year the monkey,"[172.24053653164702, 81.53846725267765, -9.232015269390459]"
6,6,2019-01-01 23:13:20+00:00,"bank america ""museums us"" returns","[12.037619937412572, 19.429745662430868, -11.199900704351442]"
7,7,2019-01-01 23:09:16+00:00,can wait the banks open tomorrow. so i cancel bankofamerica accounts worst bank ever. bofa help,"[29.653383002477472, 21.234730253095663, -13.744425575306224]"
8,8,2019-01-01 23:02:06+00:00,judge casts doubt trademark case bank america’s erica,"[19.990155951196233, 9.769312946241342, -10.649109609139622]"
9,9,2019-01-01 22:52:05+00:00,"it coffee water afternoon, started ne work pm off pm bank america","[14.607802256871881, 18.39525389418391, -10.613022225316044]"
10,10,2019-01-01 22:41:31+00:00,"afghanistan drug trade run congress, bush family bank america former president the usa, h.w. bush nickname poppy heroin plant","[78.82874864268436, 94.75482604821504, -8.508302969154471]"
11,11,2019-01-01 22:35:41+00:00,i hate bank america,"[-3.1991405133840045, 9.213666243711678, -12.811748446044387]"
12,12,2019-01-01 22:34:02+00:00,"the justice league kicking the new year our bankofamerica screen the green movie series, thursday, jan. p.m. p.m. batman, super man, wonder woman other members the justice league join together stand a greater world theory.","[93.5299208989074, 123.76251216322053, 4.94301876160857]"
13,13,2019-01-01 22:31:01+00:00,travel news bank america ‘museums us returns,"[11.800016936782082, 19.066366815347514, -11.20929866758263]"
14,14,2019-01-01 22:24:35+00:00,"found bank america charging /yr maintenance fee’s my savings account, i switched an online savings account &amp; i made /yr interest. i think that’s way do things","[73.27698541321999, 74.0198906597045, -7.920489037708464]"
15,15,2019-01-01 22:21:58+00:00,"xrp speed light costless worldbank bankofamerica ecb federalreserve swiftcommunity imfnews bgarlinghouse brian armstrong jpmorgan coindesk cointelegraph business rogerkver close your traditional costly systems banks &amp; bitcoiners . xrp is better, in fact best","[80.95201860845067, 52.36562587007812, 13.316715193776162]"
16,16,2019-01-01 22:17:26+00:00,stock review investors keen bank america corporation nyse bac it makes headlines with moves – the coin guild – bank america,"[43.17324775887759, 58.702328909680745, -10.032261842839432]"
17,17,2019-01-01 22:16:02+00:00,who got bank of america ?,"[-2.51356959389022, 6.841556939757673, -11.060671933006176]"
18,18,2019-01-01 22:12:11+00:00,"ridiculous year, i’ve met amazing people had pretty big life choices along way. i ended dream job bank america few months after offered a place the...","[8.741865701058874, 41.82636610509387, -0.5113297849437828]"
19,19,2019-01-01 22:02:49+00:00,horan capital advisors lifted intel intc position; arlington value capital has lowered bank of america bac position by . million d minute genomesequencing,"[62.785484538329264, 52.3583906075944, -9.484481389104687]"
