,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:35:52+00:00,trengriffin ritholtz munger a valuable manager at does one continue hold berkshire hathaway the basis his stewardship continuing?,"[13.887611788535946, 17.684030772728647, -9.742537996742016]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 23:30:04+00:00,sold n walden elms circle rental berkshire hathaway homeservice spring realestate,"[29.58231256675445, 18.702227378713268, -10.397228247602811]"
3,3,2019-01-01 23:30:04+00:00,sold rainwood park lane rental berkshire hathaway homeservice spring realestate,"[27.856643209355386, 18.411642546603524, -10.08997607895693]"
4,4,2019-01-01 22:54:46+00:00,"twist my arm susglobal energy snrg to reveal new significant investment in company from berkshire hathaway brk, announcement pending fsugy ckvlf qegy gers tnppe riv vffif toopa kholy gdlnf boch cagdf nghcn ghc fco orrf peyuf arrrf","[40.26358031677574, 39.431596554784306, -8.899196072542992]"
5,5,2019-01-01 22:53:54+00:00,read how warren buffett found berkshire hathaway.,"[17.821269349164456, 18.620946750102537, -9.989948866295904]"
6,6,2019-01-01 22:23:10+00:00,this an opportunity won want pass up. let talk landforsale home forsale realestate bhhsfloridarealty househunting goodtoknow goodtoask floridaliving floridarealestate homesweethome berkshirehathaway,"[6.733333457567402, -1.5173168231743834, -11.385755284578366]"
7,7,2019-01-01 22:13:55+00:00,"your move t messy you work a real estate pro let talk your options today. marvette cofield, associate broker, berkshire hathaway homeservices select","[48.7629305175196, 17.89326816478031, -9.485679144069337]"
8,8,2019-01-01 22:07:45+00:00,should you buy some berkshire hathaway stock? thestreet,"[-3.6074958742805014, -4.58813210669981, -10.664414512996661]"
9,9,2019-01-01 22:01:33+00:00,"reclaimed materials really give home cool edge. take tips design pros find how find implement reclaimed pieces renovations eric l hanson, pa, real estate agent berkshire hathaway...","[38.78972032895016, 28.02667935105083, -11.269848185273247]"
10,10,2019-01-01 21:49:03+00:00,"start a bit wisdom one the successful investors all time ""the important investment can make in yourself."" — warren buffett, business magnate ceo berkshire hathaway.","[20.148938163922896, 36.9777503116879, -0.053499152915023274]"
11,11,2019-01-01 21:40:52+00:00,berkshire hathaway make world safer place making us listen acid rock.,"[31.846016331603064, 22.753533132502653, -11.219301651700818]"
12,12,2019-01-01 21:20:09+00:00,i put together tour would love get thoughts it floridaliving goodtoask goodtoknow bhhsfloridarealty floridarealestate realestate forsale homesweethome home househunting berkshirehathaway,"[-4.030217578005799, 1.9193288583566495, -11.290428620359165]"
13,13,2019-01-01 20:44:06+00:00,should you buy some berkshire hathaway stock? via thestreet,"[5.382003848221893, -5.656342042581329, -10.326731425089527]"
14,14,2019-01-01 20:40:21+00:00,"what the must have feature your next home? sandy martin realtor gri, cne berkshire hathaway","[8.891322847996417, 27.083001626938405, -10.121643843834704]"
15,15,2019-01-01 20:26:31+00:00,"a new year means new chapter my professional life. here to berkshire hathaway home services anderson properties enid, ok","[26.515403323510544, 15.415899452360577, -9.33760853277549]"
16,16,2019-01-01 20:18:12+00:00,do know someone looking a great property vero beach? please pass along heretohelp bhhsfloridarealty goodtoknow realestate goodtoask forsale floridaliving home floridarealestate househunting homesweethome berkshirehathaway,"[8.79058427113019, -4.518702019604476, 0.1369617379133956]"
17,17,2019-01-01 20:02:05+00:00,"why you should not for sale by owner. seriously click picture below to get all the info. alan taylor, realtor and trusted real estate advisor with berkshire hathaway real estate. helping every family feel confident when buying and selling a home....","[69.23292311190615, 63.4890285540702, 1.8361293834770862]"
18,18,2019-01-01 19:28:28+00:00,check what i added my closet poshmark berkshire hathaway years service in. via poshmarkapp shopmycloset,"[34.42988520453151, 25.172076093822298, -9.530873819375444]"
19,19,2019-01-01 19:17:08+00:00,"do know anyone looking a home like this, tag home forsale realestate bhhsfloridarealty goodtoknow househunting goodtoask floridaliving floridarealestate homesweethome berkshirehathaway","[15.440948776724287, 6.193271267605489, -10.171183628566439]"
20,20,2019-01-01 18:35:52+00:00,thank great i love working hard for my clients marc fagan realtor berkshire hathaway homeservices,"[23.613196005228115, 23.847857227253016, -14.942299943264672]"
21,21,2019-01-01 18:35:17+00:00,"from of us berkshire hathaway homeservices greenwood, hope had wonderful holiday season happy new year bhhsgreenwood trustedadvisor happynewyear","[-0.41248078777368424, -2.4407176031783284, -14.798833297654241]"
22,22,2019-01-01 18:15:19+00:00,"just listed this beautiful bed bath t on market long. call, text direct message for details. berkshire hathaway homeservices premier properties th st. s. fargo, nd","[68.71512318889067, 28.217453175860598, -11.11557733152695]"
23,23,2019-01-01 18:03:20+00:00,chairman ceo berkshire hathaway,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
24,24,2019-01-01 18:01:09+00:00,this living room probably meant kids. parents able pick all things could be broken right away. lesley gambino berkshire hathaway home services,"[9.741127654838241, 5.399774571707042, -10.709567638374452]"
25,25,2019-01-01 18:00:27+00:00,i put together tour would love get thoughts it househunting home forsale realestate bhhsfloridarealty goodtoknow goodtoask floridaliving floridarealestate homesweethome berkshirehathaway,"[-4.030217578005799, 1.9193288583566495, -11.290428620359165]"
26,26,2019-01-01 17:46:47+00:00,have quick second? take look this tour i created... floridaliving goodtoask floridarealestate goodtoknow bhhsfloridarealty realestate homesweethome forsale home househunting berkshirehathaway,"[-4.8214095438019156, 4.833293913168731, -10.440193633976342]"
27,27,2019-01-01 17:27:45+00:00,thank to client joann merenda berkshire hathaway home services choosing baker inspection group your home inspection needs modesto morning. homeinspector…,"[29.562614386965866, 41.366802552875996, -10.352784066939904]"
28,28,2019-01-01 17:07:30+00:00,"if had acreage like this, would use for? goodtoask goodtoknow floridaliving bhhsfloridarealty realestate floridarealestate forsale home homesweethome househunting berkshirehathaway","[18.96436809093151, 6.065170030395549, -10.325153923101574]"
29,29,2019-01-01 17:02:23+00:00,truebubblehead should told you want share berkshire hathaway haha,"[-2.757243075824138, -5.628863241065794, -10.689548761022394]"
30,30,2019-01-01 17:01:43+00:00,it’s time unfold new pages start new chapter your life it’s new year. happy new year carla goddard new home specialist berkshire hathaway homeservices flpg,"[19.375019568226083, 8.607923644044035, -10.827444430064546]"
31,31,2019-01-01 17:00:26+00:00,"may year one your best yet. happynewyear freshstart berkshire hathaway homeservices premier properties th st. s. fargo, nd","[11.266446170345862, 8.376149503781406, -12.927328216433239]"
32,32,2019-01-01 16:45:23+00:00,"billgates melindagates perhaps obvious state, billgates case study how a man evolve. thank for contributions, esp berkshirehathaway. my son fav person spot shareholders mtg, shy say hello xbox","[42.72908844984159, 63.63261042708973, -0.42362134422045017]"
33,33,2019-01-01 16:42:09+00:00,download berkshire hathaway homeservices koenigrubloff app &gt; chicagorealestate text app,"[15.4380984752013, 25.43291388566398, -10.098430080889216]"
34,34,2019-01-01 16:41:48+00:00,"different types stress require different coping strategies. lifetips mentalhealth berkshire hathaway homeservices premier properties th st. s. fargo, nd","[50.49416405137761, 32.5660641483673, -11.230885731787566]"
