,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:22:05+00:00,"big banks look cut back, alter credit card rewards programs wsj large financial institutions including jp morgan chase &amp; co , citigroup inc , american express co cutting back altering of rewards plans their credit card…","[102.20249112815141, 66.43123988102438, 4.023844331201033]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 22:55:19+00:00,swimming in molasses transakt takd to announce new non toxic shareholder friendly line credit from citigroup c tbnk brgrf kermf ivpaf gsit nmy idtlf hlix mfon drttf nmgrf ackrf sgc mrsn gwlif nbw wtba bmlph embyf bdco,"[5.19494880077453, 15.356433015607792, 0.8942323206884311]"
3,3,2019-01-01 22:51:18+00:00,"big banks look cut back, alter credit card rewards programs wsj large financial institutions including jp morgan chase &amp; co , citigroup inc , american express co cutting back altering of rewards plans th... usrc businessnews","[115.59709081793724, 79.09760451623696, 4.099006458699662]"
4,4,2019-01-01 22:48:26+00:00,"big banks look cut back, alter credit card rewards programs wsj large financial institutions including jp morgan chase &amp; co , citigroup inc , american express co cutting back altering of rewards plans their credit card businesses offer borrowers,…","[112.52681240464246, 78.17694339264862, 16.31610458395228]"
5,5,2019-01-01 22:19:33+00:00,zacks brokerages expect citigroup inc c will post earnings . per share markets,"[40.59819784940738, 9.420771648934561, 1.2247371043850919]"
6,6,2019-01-01 22:19:32+00:00,zacks brokerages expect citigroup inc c will post earnings . per share stocks,"[28.718326369008807, 7.598609826919912, -10.655134376013471]"
7,7,2019-01-01 22:17:21+00:00,zacks brokerages expect citigroup inc c will post earnings . per share,"[28.718326369008807, 7.598609826919912, -10.655134376013471]"
8,8,2019-01-01 20:56:05+00:00,"""rewards costs grew average in third quarter from year earlier bank america corp. , citigroup inc., jpmorgan, u.s. bancorp wells fargo &amp; co., according bank analyst charles peabody."" via wsj bac jpm c wfc","[103.05031732835016, 71.3373710933992, -8.978291074522119]"
9,9,2019-01-01 19:18:42+00:00,am—citigroup willem buitter also leading same conclusion my tweet pm mkts be shocked downside,"[16.087173542247218, -1.4180583026068807, -12.35133986184151]"
10,10,2019-01-01 17:50:05+00:00,"india pay price undermining rbi independence, says citigroup willem buiter cnbctv","[7.381592352818314, -1.217390219703916, -11.243468466431878]"
11,11,2019-01-01 17:10:55+00:00,"""to sure, companies, as bank america, citigroup wells fargo, ready tout progress ve made. bank america member board includes five women three people color. ""&lt; progress?? that almost exactly where...","[64.51754452408316, 92.6868173122317, -8.115050150390303]"
12,12,2019-01-01 14:27:22+00:00,"mdc hldgs mdc shareholder waterfront capital partners has increased holding; as citigroup c market valuation declined, brave asset management has decreased position – the finexaminer – citibank","[90.97461976285514, 80.55495200581764, 1.642965489273493]"
13,13,2019-01-01 14:21:01+00:00,"citigroup | c c, citifroup, inc, d sell. long short citigroup wcx","[7.975547901725737, -2.4361957326622847, -11.523939785764618]"
14,14,2019-01-01 13:50:02+00:00,this july crew came dallas spent considerable amount time interviewing in home what happened i spoke against behavior i witnessed and reported citigroup whistleblowing,"[25.52154625502803, 51.120904338570696, 2.988825365849891]"
15,15,2019-01-01 13:35:31+00:00,reclaiming narrative human mobility migration &amp; refugees citigroup oxford martin school study reveals migration boosts national gdp expansion. it also notes attitudes narratives towards migration disconnected its actual impa…,"[101.57218046376305, 101.60893240988679, -8.333520841284027]"
16,16,2019-01-01 12:31:05+00:00,nonfiction how citigroup escaped financial disaster books literature,"[31.179937290560805, 12.300906710001996, 0.1123645725835658]"
17,17,2019-01-01 11:41:27+00:00,citigroup inc. c eps estimated at .,"[9.03642944617928, 10.163022697018356, -11.268757551577202]"
18,18,2019-01-01 11:41:20+00:00,. eps expected citigroup inc. c,"[11.056083069480152, 20.40210649384019, -11.408588177629703]"
19,19,2019-01-01 11:41:16+00:00,citigroup inc. c analysts see . eps,"[10.433339529510171, 9.703953718386892, -11.344049656492139]"
20,20,2019-01-01 11:41:14+00:00,eps citigroup inc. c expected at .,"[9.454752970067393, 19.963452635737085, -11.161598122281887]"
21,21,2019-01-01 09:11:17+00:00,rt alexsaundersau bank fines since the gfc bank america b jpmorgan chase b citigroup b deutsche bank b wells fargo b rbs b bnp paribas b credit suisse b morgan stanley b goldman sachs b ubs b every day people wake to bullshit &amp; …,"[8.555628965187783, -0.11176320525795846, -10.768844946614067]"
22,22,2019-01-01 08:03:48+00:00,"monday’s vital data comcast, amazon citigroup","[21.902767910012567, 11.747076129694113, -11.386524305000997]"
23,23,2019-01-01 08:02:40+00:00,"rt jessefelder buybacks tend be procyclical; boom profits share prices high, a bunch companies end buying the top the market—just like we’ve seen apple, citigroup, wells fargo year. …","[51.692933389953005, 57.683075472136395, 3.3770835127184142]"
24,24,2019-01-01 07:57:34+00:00,"️ zacks value trader highlights citigroup, huntsman, macy???s, metlife apple originally shared december , wallst","[46.30567990136801, 45.20253929630556, 1.294094271021919]"
25,25,2019-01-01 07:16:05+00:00,bank fines since the gfc bank america b jpmorgan chase b citigroup b deutsche bank b wells fargo b rbs b bnp paribas b credit suisse b morgan stanley b goldman sachs b ubs b royal commission australia pending stay woke btc be own bank,"[28.983471329830923, 20.73555176603135, -9.776472087146189]"
26,26,2019-01-01 07:03:43+00:00,"londonnye as new year arrives london hsbc wellsfargo citigroup royalrumble brexit let absolute power put things right earth, may olde family quarrels brought light, remendy, this be prayer my father the heavens, let be finished","[33.692341742366715, 70.19472037624219, 15.39454560303146]"
