,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:54:27+00:00,"chrisnelder meetthepress chucktodd and my broadcast least one ads show exxonmobil. todd mention the lawsuits xom others, asking the panelists whether were good idea.","[27.895896292136218, 26.54231811783113, -10.98755273688677]"
1,1,2019-01-01 23:51:20+00:00,realdonaldtrump very strange uk still sticking high pump prices despite huge fall in worldwide crude oil price iran self producing its petroleum and longer buying imports cmagovuk shell bp plc total exxonmobil uk cartel,"[68.915295739075, 68.3186457776455, 1.4379929943787175]"
2,2,2019-01-01 23:38:05+00:00,yettanie exxonmobil happy new year also,"[-0.3671403718090993, -4.841309995630038, -12.98475094886648]"
3,3,2019-01-01 23:32:23+00:00,mzjacobson dan kammen about discussing openly the biggest shareholder/investors us fossil fuels including warren buffett billgates mtbarra ford goldmansachs fidelity vanguard group chevron shell exxonmobil,"[51.94544645368365, 62.147638733686414, 2.6402731705265268]"
4,4,2019-01-01 23:00:41+00:00,"of players still alive the qatar exxonmobil open, andrey rublev the youngest y, doha","[30.89290830320382, 33.01485727283581, 1.3670308075620383]"
5,5,2019-01-01 22:06:08+00:00,galacticos wins exxonmobil futsal festival stabroek news...,"[22.321091433900673, 22.240653248972784, -11.684829983813856]"
6,6,2019-01-01 22:06:07+00:00,galacticos wins exxonmobil futsal festival stabroek news...,"[22.321091433900673, 22.240653248972784, -11.684829983813856]"
7,7,2019-01-01 21:59:27+00:00,moments day two qatar exxonmobil open atp qatartennis exxonmobil djokernole ceck domithiem pierrehuguesherbert,"[9.88167856651323, 8.256034337833619, -11.11084074984657]"
8,8,2019-01-01 21:52:45+00:00,"exxonmobil, cnpc, empresa, kogas galp secure offtake commitments the rovuma lng project","[24.45933067760463, 43.117787514353694, 1.4312450768407814]"
9,9,2019-01-01 21:44:47+00:00,"french tennis player pierre hugues herbert the victor his match no. world ranked dominic thiem the qatar exxonmobil open tennis championship , phugz thiemdomi qatarexxonmobil atp qatartennis","[70.41873361057152, 52.13540338667973, -8.344633350254213]"
10,10,2019-01-01 21:36:19+00:00,"novak djokovic dominated opening round the qatar exxonmobil open tennis championship bosnian tennis player damir dzumhur taking sets , djokernole dzumhurdamir qatarexxonmobil atp qatartennis","[42.69472617807173, 63.01525273827484, 1.8833857551774713]"
11,11,2019-01-01 21:33:44+00:00,"simonahac angustaylormp privatization profitshifting taxhavens as fake debt like bhp riotinto chevron exxonmobil ato gov au come agreements pay some tax avoided, asx dont suspend trading fake financials wealthtricklesup corruptiontricklesdown","[72.53644076794599, 16.52889671433671, 11.141839450559942]"
12,12,2019-01-01 21:22:42+00:00,exxonmobil shelves lng export project canada fx forex finance,"[25.78903493986935, 64.60577283837718, 13.414216087571205]"
13,13,2019-01-01 21:11:52+00:00,presumptuousbug bethlynch gop realdonaldtrump vp epa whitehouse senatemajldr speakerryan housegop senategop nancypelosi senschumer ipcc ch unfccc sensanders senwarren aoc sunrisemvmt drjillstein joshfoxfilm jimmy dore miserablelib ronplacone millenpolitics greenpartyus humanistreport leecamp kylekulinski johniadarola theyoungturks saudi aramco gazpromen iranianoilbrk coalindiahq netl doe rosneften cnpc adnocgroup exxonmobil pemexglobal shell sonatrach dz official kpc bp plc qatarpetroleum peabodyenergy time the us end fossil fuel subsidies via nrdc,"[62.225740797477144, 31.4174104548907, 13.213777628077352]"
14,14,2019-01-01 21:06:41+00:00,mozambique area partners secure buyers rovuma lng project exxonmobil,"[34.752817830811864, 43.36133888015465, 1.5343446071726419]"
15,15,2019-01-01 20:59:49+00:00,exxonmobil currently trying get several controversial tax exemptions approved br. now is filing early paperwork a new round possible tax breaks via theadvocatebr,"[76.14272121022064, 29.473297040649953, -9.955261880350761]"
16,16,2019-01-01 20:50:30+00:00,delighted fans meet stars exxonmobil qatar stand,"[18.560247464720145, 7.7464963778550455, -11.03833917629209]"
17,17,2019-01-01 20:44:47+00:00,exxonmobil how aspiring employees like us?,"[21.273155592091854, 21.373890767952417, -10.621384341011527]"
18,18,2019-01-01 20:27:03+00:00,ebay deal exxonmobil gas physical gift card for only – free st class delivery,"[37.42436969933805, 30.575081689435976, -10.070343627186546]"
19,19,2019-01-01 20:09:38+00:00,"qatar exxonmobil open st round pierre hugues herbert beat dominic thiem ,","[8.166053647423947, 19.9282992969985, -10.55945990105927]"
20,20,2019-01-01 19:58:11+00:00,"djokovic, wawrinka to winning starts open exxonmobil open via youtube","[23.20817723607342, 6.61651888404716, -9.656145106435659]"
21,21,2019-01-01 19:58:03+00:00,en image qatar exxonmobil open day photo tnani badreddine,"[19.64732882516766, 17.711529668184212, -11.035149739311905]"
22,22,2019-01-01 19:26:33+00:00,ebay deal exxonmobil gas physical gift card for only – free st class delivery dotd fb dealoftheday deals,"[48.01781661138627, 41.879219719050795, -9.427264097884276]"
23,23,2019-01-01 19:21:46+00:00,respectablelaw maybe you boeing goldmansachs citibank northrupgrumman unitedtechnologies jpmorganchase raytheon exxonmobil purduepharma or.....,"[9.807386118711612, 8.77104272507627, -10.698519372075783]"
24,24,2019-01-01 19:21:30+00:00,finally watching meetthepress chucktodd last sunday climate change i struck the irony an exxonmobil commercial leading one break. great job the episode though,"[31.77816589520423, 20.232526139369938, 1.6653761622628878]"
25,25,2019-01-01 19:15:38+00:00,thank exxonmobil qa sponsoring atp tour qatar. great night always. looking forward more nights world class tennis. and environment important protect remember dugongs matter,"[24.572756873408668, 61.4593931470897, -13.305681147566801]"
26,26,2019-01-01 18:30:01+00:00,bc there a two page spread in exxonmobil annual sustainability report. wc holding boobs you go and stairs. vote this pair help teach ai s funny rt &amp; follow cardsarehumorous,"[83.58823087616224, 81.15412041756926, -8.300754206299146]"
27,27,2019-01-01 18:29:53+00:00,chris rogerson berniesanders in case i healthcare. i worked hard retire and i t want shit you. i would however like my tax go helping less fortunate me opposed oh say exxonmobil.,"[56.34835611980818, 43.07268035224082, 13.497323857247537]"
28,28,2019-01-01 18:24:23+00:00,"swiss tennis player stan wawrinka triumphed russian player karen khachanov sets in qatar exxonmobil open tennis tournament , stanwawrinka karenkhachanov qatarexxonmobil atp qatartennis","[74.71030580374297, 66.1979916138664, -8.842029886928174]"
29,29,2019-01-01 18:04:24+00:00,exxonmobil please tell pwc recruit good construction engineer requires world class project experience international certifications.thank,"[33.06100140717927, 51.2505163529236, 0.9923495772115274]"
30,30,2019-01-01 17:55:46+00:00,"dear margaret, please study membership lists orgs founded david rockefeller world biggest bank jpmorgan chase &amp; exxonmobil standard oil , world biggest oil company. all chairmen aristocrats except scheel","[47.04654379388905, 59.58933493277483, 1.931561705084519]"
31,31,2019-01-01 17:50:24+00:00,exxonmobil gas physical gift card for only – free st class delivery,"[28.01654645294757, 29.12798262274292, -9.841457049686099]"
32,32,2019-01-01 17:29:28+00:00,"snapsocialguru markallan the idea you need avoid an employee all costs asinine. tell to thousands upon thousands millionaire “employees” companies like apple, google, microsoft, amazon, boeing, exxonmobil, chevron, wall st banks, law firms, etc etc.","[114.39135195040988, 85.04687168025431, -8.024054495593575]"
33,33,2019-01-01 17:18:20+00:00,"qatar exxonmobil open st round marton fucsovics beat marius copil ,","[-3.713817832974615, 8.048427816599936, -10.954301402806358]"
34,34,2019-01-01 17:08:48+00:00,got bautistaagut’s signature attending qatar exxonmobil open exxonmobil qa khalifa international tennis squash complex,"[30.940598360078045, 31.916082636788886, 1.6898921674929426]"
