,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:59:44+00:00,new job business sales specialist jobs bc vancouver sale company microsoft location bur,"[47.28954946005933, 56.50278840781202, -9.01568603031022]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 23:59:42+00:00,"microsoft xboxsupport xbox i’d like know i would need buy prepaid card renew membership middle december i already paid renew the rd, shown on this heavily censored card statement. i wouldn’t, bc i didn’t.. wtf?","[86.50714350495754, 45.50452207530522, 14.380318847995213]"
3,3,2019-01-01 23:59:41+00:00,help get first ever montage views would mean world mixerstreamersunite lionsdenmixer ignore tags xbox microsoft…,"[41.165847474251194, 30.715996584864556, -10.360272907426435]"
4,4,2019-01-01 23:59:05+00:00,"tln’s creator saying studio “massive business, legal &amp; funding issues” sounds lot like “microsoft pulled plug i publicly hate women”.","[72.84316358042368, 26.35478319687627, 10.636325271903445]"
5,5,2019-01-01 23:58:34+00:00,"""there nothing amusing aboutmit’s psychotic bot norman microsoft’s fascist tay.technologists falling the trap considering ai systems make decisions analogous children, playing dolls marveling their dolly speaking""","[66.73589352052824, 68.8499305653491, 0.988680996227103]"
6,6,2019-01-01 23:58:28+00:00,"reuters terrapower llc, nuclear energy venture chaired microsoft corp co founder bill gates, seeking new partner early stage trials its technology new u.s. rules forced to abandon agreement china, company officials told wsj","[95.91802887539248, 96.57033739394687, -9.70372544227935]"
7,7,2019-01-01 23:58:12+00:00,anikakokatayy babysnitchery ......most people i know smart ass programmers microsoft are indian this girl just??? ?? ?????????????,"[17.453315021881874, 26.16769440610873, -10.687350522896025]"
8,8,2019-01-01 23:57:51+00:00,"passcod eevee case point, microsoft offered automatically translate from romanian. it failed, it already english.","[53.77579216538546, 56.86702684079081, 12.782832531732467]"
9,9,2019-01-01 23:57:49+00:00,"“for intents purposes, we’re years year process moving analog digital,” said tim bajarin, a longtime tech consultant companies including apple, ibm microsoft. digitaldisruption futureofwork","[61.36807217094755, 51.7853314856969, -8.595601047737944]"
10,10,2019-01-01 23:57:22+00:00,", year nuetral youtube gamers talk how microsoft changing brand.","[27.435809274767852, 18.695519638134606, 1.90780480557126]"
11,11,2019-01-01 23:56:55+00:00,microsoft emerges clear no. cloud computing cloud computing,"[70.99317265136106, 51.47291839321864, -9.006851688157411]"
12,12,2019-01-01 23:56:14+00:00,vanillacat thejwittz i feel like nintendo would jump a ridiculous amount hoops to do since microsoft owns rare. but i still holding hope,"[50.04770404398928, 51.063681082179514, 1.9571691033980443]"
13,13,2019-01-01 23:55:52+00:00,"spiderman microsoft xbox, ebay marvel ends h last price usd .","[33.50719768357791, 35.01166791946436, -0.21382015031436197]"
14,14,2019-01-01 23:55:05+00:00,rt websansolutions how create sales invoice payment a customer dynamics business central microsoft sales invoice training,"[59.74056661999033, 90.03279482599815, -8.166978874535218]"
15,15,2019-01-01 23:55:01+00:00,"pgque markdice so, twitter, google, microsoft, apple etc... no matter you t get away it. using one the really t matter. lol.","[24.833751359917134, 22.16004704173075, -9.412690712498645]"
16,16,2019-01-01 23:54:31+00:00,"in , microsoft resolve raid rare records destructoid general physics laboratory gpl in , microsoft resolve raid rare records destructoid the first year i could say i honestly...","[84.41216336806819, 77.08014596566922, -7.992432574314094]"
17,17,2019-01-01 23:54:30+00:00,"while microsoft slackhq continue battle out the top the collaboration software market, variety forces could shape fight the year ahead. hackersdude | computerworld","[60.632549612944224, 73.26054778347797, 2.306541108387094]"
18,18,2019-01-01 23:54:06+00:00,bwayhrvy well microsoft jump few numbers windows whats years friends.,"[16.119518845700615, 32.72290035276516, -9.582447861862178]"
19,19,2019-01-01 23:53:50+00:00,"fun fact, o rear claims he never edited photo, sold microsoft is. microsoft probably some basic digital manipulation it afterwards. it taken a medium format camera is considered to be one the world most ubiquitous photos","[122.65245139802072, 112.83028542463894, 4.683070805613696]"
20,20,2019-01-01 23:53:32+00:00,why southpaw asset management lp give money a microsoft patenttroll like finjan the first place? for background see,"[29.295619100403062, 39.66776677390675, -9.357495723222087]"
21,21,2019-01-01 23:52:28+00:00,abbeyroadred audiocommons microsoft marvellous poor pale people computer creatives pleeeez stay healthy please think uv indoors you live permanent winter otherwise john nash ott father timelapse motion pictures health computer disneypixar,"[89.4604231783711, 94.4753832227796, -8.982840937355732]"
22,22,2019-01-01 23:52:24+00:00,fun fact microsoft the major platform holder never had cartridge based system,"[28.23139126680093, 9.706397468615208, -12.063179175455815]"
23,23,2019-01-01 23:52:12+00:00,microsoft i really see power the apps the site the business community. your teams explanation huge help it deployment i need see this help wcag accessibility microsoft consulting business a beta tester windows office .,"[35.0519024166416, 63.74384457800791, -8.410603995187145]"
24,24,2019-01-01 23:51:16+00:00,"it los carneros american viticultural area wine country, california. the photo taken charles o rear a spur moment shot saw opportunity while was driving. microsoft bought the rights used it as the windows xp wallpaper, bliss","[68.14931081363734, 75.24036564696677, 15.989096849592968]"
25,25,2019-01-01 23:50:51+00:00,thebicykyle i microsoft years old.,"[19.852130593060906, 9.05589698458244, 0.35205413844225575]"
26,26,2019-01-01 23:50:41+00:00,"in digital world, need digital peace. together, can bethegeneration stopcyberwarfare. learn and sign petition demand digital peace now microsoft","[60.30937820964751, 70.44653221208789, 3.3800026218603136]"
27,27,2019-01-01 23:50:39+00:00,"jhous microsoft think methods, it very simple how satisfy fanbase.","[21.10086147483185, 10.001307359216554, 0.13876695548509588]"
28,28,2019-01-01 23:50:39+00:00,"from windows eye control the xbox adaptive controller, language understanding custom image reco – what journey microsoft msdn blog","[70.03491291779662, 79.84081577702734, -7.664713911959254]"
29,29,2019-01-01 23:50:37+00:00,"so i may getting inch qled curved tv microsoft. if i get it, should i with it?","[25.596616065460513, 19.57782474857933, -9.388304143296082]"
30,30,2019-01-01 23:50:15+00:00,hi motsepefoundtn jnjcares cisco nedbank vodacom harmonygoldnews gatesfoundation cocacola za hp microsoft uber nandossa thank for supporting glblctzn festival mandela — together can bethegeneration end extreme poverty .,"[56.925216474537, 59.54844101086405, 0.13243709683564475]"
31,31,2019-01-01 23:50:03+00:00,how set data loss prevention rules microsoft office,"[30.384673570050854, 20.682149790015103, -11.420299373963246]"
32,32,2019-01-01 23:50:01+00:00,faudio sees its initial release as microsoft xaudio reimplementation,"[41.07381219196275, 19.709874961615945, -10.941402666272687]"
33,33,2019-01-01 23:49:07+00:00,"fortnite microsoft xbox one, fortnite fortnitebattleroyale live","[18.135495553702334, 17.784919233329312, -10.425847745018082]"
34,34,2019-01-01 23:49:06+00:00,"fortnite microsoft xbox one, fortnite fortnitebattleroyale live","[18.135495553702334, 17.784919233329312, -10.425847745018082]"
35,35,2019-01-01 23:48:59+00:00,"...because vast majority people within firms, including facebook, google, amazon, microsoft etc.etc, actively work respect rights innovating. we regulators, legislators, politicians, privacy pros, rights activists , need means keep in control","[49.75126168983575, 62.091426772619315, 1.8410006356582187]"
36,36,2019-01-01 23:48:58+00:00,xbox one news microsoft working surprise new hardware xbox one x windows ? express,"[49.45328964289154, 57.71846381147178, -9.358408332079577]"
37,37,2019-01-01 23:48:23+00:00,behindshadows microsoft do now they new staff xbox division. these representatives excellent job providing content consumers my opinion. why share expertise? any feedback help reshape future gaming community.,"[85.00543801442838, 83.29904629586227, -11.043530965799832]"
38,38,2019-01-01 23:48:07+00:00,"and i got mse, microsoft solitaire expert","[20.590714091564347, 31.548968546838054, -10.63629586684263]"
39,39,2019-01-01 23:47:19+00:00,taggartrehnn teapainusa expectoresister wildweezle conspirator zellaquixote mundaneanalysis microsoft nathantmanuel dontbeinsane bellatrixx belle de jour a ofanon mrscottlads citizen puestoloco mcspocky captainslogaz ivysghost iche mynameismok republicansarethemostcorrupt a holes,"[31.63458801266184, 30.34800735766958, -10.370903349999445]"
40,40,2019-01-01 23:47:15+00:00,"microsoft said would start giving app developers cut non game apps, from , , the new pricing t implemented yet brad sams/petri","[33.80134317214904, 34.07722097779899, -8.155140736116934]"
41,41,2019-01-01 23:46:36+00:00,"ai chip startup graphcore closes m series d, adds bmw microsoft strategic investors.","[88.43553434236853, 59.56826154340879, 2.1974198822868374]"
42,42,2019-01-01 23:46:26+00:00,longfang “we’re collecting personal information uploading to microsoft”,"[41.17934033909927, 31.414706004089027, -9.77515983206684]"
43,43,2019-01-01 23:46:22+00:00,"benv davidscottjaffe you ignorant microsoft history, joke","[9.816864862666156, 7.681909180362705, -11.144655519914874]"
44,44,2019-01-01 23:45:33+00:00,happy ay accessibility new year all . microsoft msftenable team around world here charlotte nc,"[33.038128908014606, 37.241560546237324, -12.272493415530008]"
45,45,2019-01-01 23:45:24+00:00,this microsoft app lets make font of handwriting,"[17.628007250118397, 38.37782043108724, -9.913209812405462]"
46,46,2019-01-01 23:45:08+00:00,complete anatomy windows link aplikacji complete anatomy windows w sklepie microsoft store complete anatomy windows,"[16.552519037490075, 13.465624745430219, -10.563394199857143]"
47,47,2019-01-01 23:45:03+00:00,rt crowecrm my last post simplify time tracking with microsoft dynamics . crm msdyn,"[27.52162898601812, 18.33965283457683, -9.937167405066475]"
48,48,2019-01-01 23:44:21+00:00,"new post in , microsoft resolve raid rare records been published breaking news","[60.240154743492646, 43.18590461465261, -9.101683657640564]"
49,49,2019-01-01 23:44:06+00:00,new ebay microsoft xbox one s tb battlefield v console bundle white,"[49.45613143814938, 39.04472669625146, -9.969870369005207]"
50,50,2019-01-01 23:42:53+00:00,"ambassadordopey xboxsupport xbox xboxp i recall payment a defective digital product. i also stop business microsoft personally. i work financial services, i’m some kid. i know rights it comes a defective product.","[92.30942989676306, 85.22235739946173, 16.3615794640272]"
51,51,2019-01-02 23:59:51+00:00,simonj neo “microsoft included separate software the office software [on desktop computers] regularly sends telemetry data its servers the united states.”,"[76.66215937295016, 75.88564128366828, 3.329814911364025]"
52,52,2020-10-28 14:04:52+00:00,tienes nuestro apoyo. aprovecha la conveniencia de nuestra app surte la mayoría de tus medicinas sin costo por envío.,"[20.632653031376382, 55.88341592843476, -9.93123148587729]"
53,53,2019-01-02 23:59:13+00:00,maburgosjr xbox microsoft should’ve looked the reviews youtube buddy fuckedyourself finessed,"[38.16303668740534, 38.68015523340858, -9.498295285817314]"
54,54,2019-01-02 23:58:00+00:00,rt pzerger join insider program the coming chrome powered microsoft edge windows browser,"[49.35816505267453, 38.33104048052422, -10.339990521973291]"
55,55,2019-01-02 23:57:45+00:00,visionary fatkittyrun dayz well test patches the system obviously it easier implement pc don have jump microsoft sony hoops kind common knowledge days consoles have very strict restrictions updates,"[55.22546934551348, 72.26081919901064, 10.573670023717895]"
56,56,2019-01-02 23:57:39+00:00,the grand tour game pre order ./£. via microsoft store,"[33.89933424678509, 33.57607192944772, -9.185302075056413]"
57,57,2019-01-02 23:57:24+00:00,windows finally surpasses windows the popular operating system from tomcnamara microsoft microsoft windows,"[28.308029098723058, 33.66429145194624, -9.269457527565876]"
58,58,2019-01-02 23:57:18+00:00,"simonj neo if company uses microsoft office even a desktop , are sharing contents the data documents. of course part used improving spell checking etc. one to remember that there not real privacy office suite.","[66.80295644544806, 80.13840939572152, 16.360197665655974]"
59,59,2019-01-02 23:57:15+00:00,dirty tech microsoft board member caught funding dems&amp; ; anti roy moore operation,"[75.16673494269956, 67.1782043890942, 1.1920938706445838]"
60,60,2019-01-02 23:57:06+00:00,"edzitron the photos app do that. yup, makes sense. you also find old windows movie maker windows essentials suite, microsoft really t want to know existed.","[21.51504621089335, 22.720025844782853, -9.093668320664207]"
61,61,2019-01-02 23:56:55+00:00,chrome adapt the theme the windows interface. microsoft browser not this,"[37.554215071621535, 39.65899453100314, -9.444764073468008]"
62,62,2019-01-02 23:56:09+00:00,"bnjmnsrmn mathowie i using lot apps, many connected icloud file system. i use microsoft outlook work. brave browser. telegram &amp; signal. bear notes. darkroom photo editing.","[74.563947094129, 93.68479727264743, 2.771518832879835]"
63,63,2019-01-02 23:55:47+00:00,prbaddie seaofthieves microsoft hi jb. for issue will need reach to microsoft support help troubleshooting store issues.,"[69.6523482167144, 37.75902108192609, -10.052503915142537]"
64,64,2019-01-02 23:55:41+00:00,theragingpitbul e that’s probably reason microsoft sells much than sony.,"[8.104152763516336, 9.249360954102094, -12.336418913104225]"
