,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:56:24+00:00,"why big oil conquered the world examines rockefellers standard oil, british royals bp, dutch royals the rothschilds royal dutch shell founded the environmental movement the un. explores background eugen…","[36.664433395848214, 97.7814465180958, 13.647532767954829]"
1,1,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
2,2,2019-01-01 20:36:55+00:00,how many royal dutch shell plc rdsa analysts are bullish?,"[10.501006226873564, 19.3334513880448, -11.059691140714001]"
3,3,2019-01-01 18:24:15+00:00,very good news indeed royal dutch shell revealed ambitious plan double investments renewableenergy green tech economy,"[59.48159431259167, 27.636441251353787, -11.214678014939054]"
4,4,2019-01-01 16:47:12+00:00,royal dutch shell plc transaction own shares. days ago. rdsa,"[19.161833992268022, 19.464790375621654, -10.799836800515365]"
5,5,2019-01-01 14:53:37+00:00,reviewing bp prudhoe bay royalty trust bpt &amp; royal dutch shell rds.b,"[33.14337991837777, 44.236807617508546, 0.7234143909563144]"
6,6,2019-01-01 08:40:06+00:00,royal dutch shell rds.a earns hold rating zacks investment research,"[41.24455248774632, 31.799551824994452, -10.484404815110672]"
7,7,2019-01-01 08:38:44+00:00,royal dutch shell rds.a given hold rating zacks investment research,"[50.82183887515083, 32.41774084268316, -10.44623825730232]"
8,8,2019-01-01 06:37:25+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
9,9,2019-01-02 22:20:12+00:00,"royal dutch shell announces , job losses bid buy company","[21.447980910206457, 32.16040443528234, -10.706041122392023]"
10,10,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
11,11,2019-01-02 21:46:34+00:00,china licenses royal dutch shell unit the first fully foreign owned trader the wholesale oil market government pushes open sector.,"[88.67646377852132, 90.2707184520589, -8.995508168102518]"
12,12,2019-01-02 19:42:28+00:00,"london, jan. , /prnewswire/ royal dutch shell plc company nyse rds.a nyse rds.b announces on nd january purchased following number of...","[8.11920670251968, 27.93134746944883, -10.553095091321921]"
13,13,2019-01-02 19:42:20+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
14,14,2019-01-02 19:35:31+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
15,15,2019-01-02 18:44:28+00:00,bbc news royal dutch shell ties executive pay carbon reduction,"[43.87295900475059, 45.90705023551583, -10.806579327034626]"
16,16,2019-01-02 17:31:07+00:00,oil rallied lows caused swing both bp royal dutch shell. bp getting c.p intraday to close at p.,"[49.07592424326754, 43.43677234577925, -10.360887439401509]"
17,17,2019-01-02 17:13:28+00:00,nestlé beats royal dutch shell become top europe,"[30.953315735706834, 49.81941193723414, -10.58456582219035]"
18,18,2019-01-02 15:47:47+00:00,"monov the dutch royal family the royal dutch shell owned directly via intermediaries almost entire donbass its industries. they dutch financed own ""republic"" ukraine, a part division ukraine the major players.","[49.363527511985644, 42.03851615705152, -11.015299138819316]"
19,19,2019-01-02 14:19:41+00:00,royal dutch shell considering bidding rights develop offshore wind farms british waters anglo dutch oil major seeks re enter the uk sector a ten year absence. more good news towards decarbonisation industry,"[110.98110659978563, 152.37744819573464, -9.002883003202797]"
20,20,2019-01-02 14:15:05+00:00,royal dutch shell considering bidding develop offshore wind farms british waters it seeks re enter uk sector paywall,"[56.77739463278726, 98.46124603057174, -9.555292329725674]"
21,21,2019-01-02 13:27:16+00:00,world largest oil &amp; gas companies . royal dutch shell . exxonmobil . chevron . total . sinopec . petrochina . bp . gazprom .rosneft . reliance industries forbes,"[45.072018479508394, 57.29952334092603, -12.006949328583417]"
22,22,2019-01-02 09:29:00+00:00,royal dutch shell considering bidding rights develop offshore wind farms british waters emilygosden,"[48.30887334795105, 88.52944954458542, -10.211868997887962]"
23,23,2019-01-02 08:06:08+00:00,"global basic petrochemical market exxon mobil, royal dutch shell, lyondellbasell industries n.v. sabic","[34.20096291429924, 34.12052472937135, -10.8845233739586]"
24,24,2019-01-02 05:05:14+00:00,valuable companies general electric royal dutch shell coca cola nippon telegraph exxon mobil valuable companies google microsoft amazon facebook apple not order what happened? networks happened.,"[105.23701922545534, 76.22569627932093, -9.055379959862151]"
25,25,2019-01-02 04:51:49+00:00,"happynewyear please include your newyearsresolutions boycotting royal dutch shell saying torture, humanexperimentation, to fuck when someone says isn an invitation to react violence retaliation","[59.750490560757065, 41.9737624901707, 14.577628042185196]"
26,26,2019-01-03 20:17:06+00:00,royal dutch shell rds.a highpoint resources hpr critical survey markets,"[36.69872797986718, 36.63583373194594, 24.253090136194686]"
27,27,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
28,28,2019-01-03 20:17:06+00:00,royal dutch shell rds.a highpoint resources hpr critical survey stocks,"[24.81885649946861, 34.81367190993129, 12.373218655796123]"
29,29,2019-01-03 20:14:55+00:00,comparing royal dutch shell rds.a highpoint resources hpr,"[11.134367134062058, 21.111638607518085, -11.386524305000993]"
30,30,2019-01-03 18:48:34+00:00,"oil companies support price carbon. why t andrew scheer? royal dutch shell billion “if trump go the path a carbon tax, not lose resolve. we should stick...","[73.04672697141959, 67.01559642220278, -10.037044734157192]"
31,31,2019-01-03 18:42:34+00:00,shell tabangao refinery life royal dutch shell plc saddled a mountain d...,"[33.135707907266756, 33.16746857376565, -11.161020855414748]"
32,32,2019-01-03 18:41:41+00:00,shell tabangao refinery life royal dutch shell hardline attitude its employe...,"[24.14478160774988, 43.48287296252209, -11.991224790771362]"
33,33,2019-01-03 18:37:45+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
34,34,2019-01-03 18:35:31+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
35,35,2019-01-03 18:33:18+00:00,shell tabangao refinery life resurrection kiobel v royal dutch shell litigat...,"[32.93288748461712, 33.71156042237409, -11.405972604085669]"
36,36,2019-01-03 18:15:05+00:00,shell tabangao refinery life royal dutch shell hydrogen news,"[21.982165151872643, 33.123773757471966, -11.259790093907597]"
37,37,2019-01-03 17:29:29+00:00,"dividendmaster the report lng canada – royal dutch shell – kitimat, british columbia interesting play i in cveo","[33.168509752540444, 61.03918218923886, -11.189918063392753]"
38,38,2019-01-03 16:07:03+00:00,"with royal dutch shell linking executive pay specific carbon footprint reduction goals, other industries follow suit? via houstonmatters","[50.77855042081783, 32.61898152352153, -10.672058781004807]"
39,39,2019-01-03 15:35:05+00:00,royal dutch shell eyes world’s second largest shale play shell argentina announced it proceed the first stage development its vaca muerta project. oil naturalgas,"[75.16809051999172, 88.15776502957915, -9.196770533777439]"
40,40,2019-01-03 14:50:21+00:00,royal dutch shell ignore the noise and keep buying shares,"[41.43887777164248, 52.718951512378176, -9.89153664162734]"
41,41,2019-01-03 14:41:18+00:00,royal dutch shell ignore the noise and keep buying shares,"[41.43887777164248, 52.718951512378176, -9.89153664162734]"
42,42,2019-01-03 14:32:54+00:00,royal dutch shell plc adr rds.a receives . average price target brokerages,"[33.02406656104922, 33.986356760597005, -12.005199535255429]"
43,43,2019-01-03 14:30:27+00:00,analysts set royal dutch shell plc adr rds.a target price . stocks,"[22.032522233784494, 30.990624487043014, -11.088908803381265]"
44,44,2019-01-03 14:30:26+00:00,analysts set royal dutch shell plc adr rds.a target price .,"[22.032522233784494, 30.990624487043014, -11.088908803381265]"
45,45,2019-01-03 13:59:05+00:00,new post royal dutch shell ignore the noise and keep buying shares royal dutch shell plc nyse rds.a been published fundswift,"[73.1023541676479, 84.5294512036908, -8.777420686059983]"
46,46,2019-01-03 13:53:30+00:00,rds.a rds.b royal dutch shell ignore the noise and keep buying shares,"[41.43887777164248, 52.718951512378176, -9.89153664162734]"
47,47,2019-01-03 12:25:06+00:00,"royal dutch shell thought efforts become greener enough it announced ambition reduce relative net carbon footprint ncf within three decades . activists pressed more, saying plan lacked actionable st..","[111.24575630588181, 59.193532217611875, 1.257128527714471]"
48,48,2019-01-03 12:03:12+00:00,zacks investment research reaffirms hold rating royal dutch shell rds.a,"[41.24455248774632, 31.799551824994452, -10.484404815110679]"
49,49,2019-01-03 12:01:50+00:00,zacks investment research reaffirms hold rating royal dutch shell rds.a markets,"[53.124423968144875, 33.621713647009095, 1.395466665287877]"
50,50,2019-01-03 08:30:00+00:00,"read about future public safety today fintalk , daily fintech newsletter subscribe to get such fintech updates accenture waycare ava royaldutchshell motorola","[61.07013998282719, 52.72078903713658, 2.6288640418001563]"
51,51,2019-01-03 07:39:18+00:00,"global petcoke gasification market analysis – royal dutch shell, sedin, kepco uhde siemens","[23.707385795020567, 33.68465726847659, -10.991682803253909]"
52,52,2019-01-03 06:35:31+00:00,"but again, barack obama actions speak louder his words. just prior his trip alaska, obama approved deepwater drilling lease royal dutch shell resume oil gas exploration the chukchi sea, north alaska.","[98.67616651189033, 131.57023166821702, 4.7213809303186025]"
53,53,2019-01-03 03:40:18+00:00,royal dutch shell eyes world’s second largest shale plays anne kings,"[33.25408996277103, 55.2388228905168, -10.993919909706221]"
54,54,2019-01-03 03:34:12+00:00,royal dutch shell eyes world’s second largest shale plays,"[10.880641363093805, 32.865374290839576, -11.78360291320039]"
55,55,2019-01-03 03:22:05+00:00,royaldutchshell obtains wholesale oil license china,"[20.817014037124398, 20.73657585219651, -10.991682803253909]"
56,56,2019-01-03 03:01:20+00:00,pays . yield. it inte...royal dutch shell plc a stocks finance stockmarket stockpicks rds.a n,"[22.15611542846783, 32.01684070888081, -11.175361399724224]"
57,57,2019-01-04 22:59:14+00:00,"i liberal is out taxing rich yeah, i know was the . now tax rate sound perfect for oil execs their corporations like exxonmobil eu bp uk koch industries chevroncr marathonpetroco royaldutchshell oxy petroleum.","[25.39605977283988, 28.652692956645083, -10.78031374567594]"
58,58,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
59,59,2019-01-04 19:27:20+00:00,royal dutch shell plc transaction own shares. days ago. rdsa,"[19.161833992268022, 19.464790375621654, -10.799836800515365]"
60,60,2019-01-04 18:43:42+00:00,"london, jan. , /prnewswire/ royal dutch shell plc company nyse rds.a nyse rds.b announces on th january purchased following number of...","[8.300149899343527, 28.3331327205986, -10.77370616461424]"
61,61,2019-01-04 18:43:35+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
62,62,2019-01-04 18:36:37+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
63,63,2019-01-04 18:30:04+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
64,64,2019-01-04 18:00:03+00:00,"royal dutch shell says set carbon reduction goals cover periods three five years. the targets will be set an annual basis, run .","[51.33099393419699, 58.4680640865149, -9.106945305503487]"
65,65,2019-01-04 16:40:13+00:00,very good news indeed royal dutch shell revealed ambitious plan double investments renewableenergy green tech economy,"[59.48159431259167, 27.636441251353787, -11.214678014939054]"
66,66,2019-01-04 15:32:53+00:00,great interview royaldutchshell using climatechange metrics its ceo pay packages. if aural learner even you are not s lot interesting stuff here. i t agree w of it.,"[6.4897554072508585, 20.25263713618814, -13.185162514207875]"
67,67,2019-01-04 14:15:09+00:00,joint statement institutional investors behalf climate action royal dutch shell plc shell actonclimate shell,"[76.17527139141392, 76.78798038704598, -9.305157366970263]"
68,68,2019-01-04 10:15:51+00:00,royal dutch shell rdsb shareholders are liking the news that rbc capital markets has reiterated their outperform rating the stock,"[41.406943617898314, 42.21956160411102, 0.7891825495148623]"
69,69,2019-01-04 10:15:19+00:00,royal dutch shell rdsb rating reaffirmed analysts rbc capital markets today,"[33.44987132278703, 33.58368736911184, 0.9843170230076836]"
70,70,2019-01-04 10:14:53+00:00,royal dutch shell rdsb outperform rating has just been reiterated rbc capital markets,"[31.54485819510001, 33.46852681488079, 1.2811366843919387]"
71,71,2019-01-04 10:13:58+00:00,royal dutch shell rdsb rating reiterated rbc capital markets today,"[33.44987132278703, 33.58368736911184, 0.9843170230076836]"
72,72,2019-01-04 09:24:37+00:00,"shell oil rds.a stock moves . what you should know want latest recommendations zacks investment research? today, can download best stocks the next days. click get free report royal dutch shell plc...","[103.76765942916197, 111.07700566532492, -7.299352327522129]"
73,73,2019-01-04 09:09:29+00:00,"shell oil rds.a stock moves . what you should know want latest recommendations zacks investment research? today, can download best stocks the next days. click get free report royal dutch shell plc rds.a free stock analysis report …","[124.86995093261969, 121.51052278798299, -6.839227546344901]"
74,74,2019-01-04 04:48:14+00:00,eps royal dutch shell plc rds.a expected at .,"[21.27008592932837, 42.12417732583376, -10.831295141672378]"
75,75,2019-01-04 04:48:06+00:00,royal dutch shell plc rds.a analysts see . eps,"[22.248672488771163, 31.864678408483584, -11.013746675882615]"
76,76,2019-01-04 04:48:04+00:00,analysts see . eps royal dutch shell plc rds.a,"[22.248672488771167, 31.864678408483584, -11.013746675882622]"
77,77,2019-01-04 04:47:58+00:00,royal dutch shell plc rds.a eps estimated at .,"[20.851762405440272, 32.32374738711504, -10.938454570967679]"
78,78,2019-01-04 01:41:47+00:00,"shellenbergermd agoraew who pays bills these clowns, agora energiewende? royal dutch shell? gazprom? i take long odds a significant part their funding traces back one those two.","[61.99181994109224, 53.202905867243174, 3.21191745082119]"
79,79,2019-01-05 23:34:57+00:00,davidf knuckldraginsam spiralwrap ppptce melparallel trumpbillgates bacchaus peteperkins mike d nuzombie woesomecharlie prepper jimbo always ultraclassic bestpotusevr bronxhoops brenner colleen judybalda billperiman traceyt theunwantedbin jpfginger hollisdockins sheilaall mammagistweetin misterdish rsuppenbach michael strump holmesdonna rabid trump thucydidestried lisa edbenson e dub bearbeverly ronmyers randallkraft nyc deplorable lotettabhrb catrumpgrl donald aper danshay jeffreycook xtrabiggg electrotek revolutionman gthroughf birdie sanmateogirl the sinclairs royal dutch shell the rockefellers cousins frank james.,"[64.9031881587383, 64.21979324183113, -10.78212317283122]"
80,80,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
81,81,2019-01-05 21:51:11+00:00,how many royal dutch shell plc rdsb analysts are bearish?,"[10.501006226873564, 19.3334513880448, -11.059691140714001]"
82,82,2019-01-05 20:02:38+00:00,royal dutch shell plc adr rds.a receives . consensus price target brokerages markets,"[34.122678849717325, 34.391821868705165, 0.578442732064147]"
83,83,2019-01-05 20:01:52+00:00,royal dutch shell plc adr rds.a given average rating “hold” analysts,"[31.49291271319702, 23.146524339113267, -12.05212853411367]"
84,84,2019-01-05 18:14:50+00:00,"shell canada ltd, subsidiary anglo dutch oil gas company royal dutch shell, planning infuse million upgrade facility brockville, ontario . shell royaldutchshell shell canada shell ukltd","[75.10615045521702, 106.31174537794315, -9.105978716763858]"
85,85,2019-01-05 16:41:17+00:00,"sosaithi aoc right. get rid those credits , &amp; tax fossil fuel related income much more. they damaging civilization. the responsible fossil fuel companies, like royal dutch shell, shifting heavily solar &amp; wind, &amp; needs be encouraged thru tax credits.","[59.83775490238582, 30.744977783392144, -11.051375834938725]"
86,86,2019-01-05 10:08:34+00:00,"️ royal dutch shell plc transaction own shares first published january , pm prnewswire","[41.43525550972422, 42.96809688408094, -9.879266806564956]"
87,87,2019-01-05 09:37:34+00:00,royal dutch shell ignore the noise and keep buying shares rds.a,"[41.43887777164248, 52.718951512378176, -9.89153664162734]"
88,88,2019-01-05 05:37:11+00:00,nestlé beats royal dutch shell become top europe anonnewsfeed news world politics political business finance worldnews politicalnews businessnews financialnews us usnews,"[51.52383438160353, 80.66483073250316, -9.328176316101533]"
89,89,2019-01-05 05:09:02+00:00,royal dutch shell plc rds.a analysts see . eps,"[22.248672488771163, 31.864678408483584, -11.013746675882615]"
90,90,2019-01-05 05:08:54+00:00,eps royal dutch shell plc rds.a expected at .,"[21.27008592932837, 42.12417732583376, -10.831295141672378]"
91,91,2019-01-05 05:08:51+00:00,analysts see . eps royal dutch shell plc rds.a,"[22.248672488771167, 31.864678408483584, -11.013746675882622]"
92,92,2019-01-05 05:08:45+00:00,royal dutch shell plc rds.a eps estimated at .,"[20.851762405440272, 32.32374738711504, -10.938454570967679]"
93,93,2019-01-06 17:06:57+00:00,"theeconomist maybe take royal dutch shell oil task first? or not, bilderberg?","[40.856349425376436, 52.32863653762334, -9.496805413275425]"
94,94,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
95,95,2019-01-06 16:55:07+00:00,[viral] would become the year of iot? internetofthings iot harleydavidson royaldutchshell rollsroyce idc viral technews news coffeebreak cis,"[6.422097049130206, -1.5541761506016205, -11.494138936305347]"
96,96,2019-01-06 16:53:32+00:00,simon rozendaal henryjp bm visser royaldutchshell shell helpt...,"[33.782639390411134, 33.68465726847659, -10.298535622693961]"
97,97,2019-01-06 13:06:33+00:00,royal dutch shell plc rdsa analysts the bullish side week.,"[19.42237807519101, 20.044857136852077, -10.891032426344381]"
98,98,2019-01-06 08:16:58+00:00,"kelechnekoff houstonnnnnnnnnn good food unfortunately b/c royal dutch shell , kind people, it’s inexpensive and houston&gt;new orleans.","[30.671827683863672, 33.000886000130414, -13.251395783310144]"
99,99,2019-01-06 06:56:11+00:00,royal dutch shell plc rds.a analysts see . eps,"[22.248672488771163, 31.864678408483584, -11.013746675882615]"
100,100,2019-01-06 06:56:03+00:00,royal dutch shell plc rds.a eps estimated at .,"[20.851762405440272, 32.32374738711504, -10.938454570967679]"
101,101,2019-01-06 06:56:01+00:00,. eps expected royal dutch shell plc rds.a,"[22.87141602874114, 42.56283118393688, -11.078285197020186]"
102,102,2019-01-06 06:55:53+00:00,royal dutch shell plc rds.a eps estimated at .,"[20.851762405440272, 32.32374738711504, -10.938454570967679]"
103,103,2019-01-06 01:05:00+00:00,"with royal dutch shell linking executive pay specific carbon footprint reduction goals, other industries follow suit? via houstonmatters","[50.77855042081783, 32.61898152352153, -10.672058781004807]"
104,104,2019-01-06 00:16:31+00:00,wtaf janspics sally cf femi sorry lbc please. sense perspective a moment. business the uk assets that magnitude. amazon. .bn apple. .bn google. .bn uk. hsbc holdings £.bn royal dutch shell £.bn bp £.bn don make things up.,"[87.90173900766379, 101.95463129638019, -10.818589802279874]"
105,105,2019-01-07 23:33:37+00:00,"the horsemen of the apocalypse the federal reserve. the four horsemen banking bank america, jp morgan chase, citigroup wells fargo the four horsemen oil exxon mobil, royal dutch/shell, bp chevron texaco.","[48.5482938755725, 17.839765312536457, -9.13034845074479]"
106,106,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
107,107,2019-01-07 20:39:35+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
108,108,2019-01-07 20:38:19+00:00,royal dutch shell plc transaction own shares,"[31.716056264511234, 32.328765260143285, -10.683852678496457]"
109,109,2019-01-07 17:50:20+00:00,royal dutch shell huge alberta.,"[11.114435727019004, 21.291572694275636, -11.429937734185067]"
110,110,2019-01-07 16:08:09+00:00,"key analysts goldman sachs reiterate ‘""buy""’ rating royal dutch shell rdsb shares today. their tp gbx .","[43.002678895973254, 45.368807393647586, -10.414203784615893]"
111,111,2019-01-07 16:07:05+00:00,reaffirmed royal dutch shell rdsb buy rating kept goldman sachs; gbx . target place,"[31.056132516219154, 41.92937325986624, -10.612225338880734]"
