,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:26:57+00:00,"bad thing ajit pai that once worked verizon communications, wants g. every one appeal local/city councils prevent g. thus, someone write a list dangerous elements g, present all town meetings vote ban.","[80.73350702336651, 84.76057492914464, 2.5601220914757192]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 17:45:34+00:00,are analysts bullish verizon communications inc. vz last week?,"[31.330699733408064, 20.406875749312547, -10.306985010477895]"
3,3,2019-01-01 14:37:02+00:00,anime dramas product placement verizon communications a credit card,"[32.92563006995887, 44.2880626248566, 1.5349055918072025]"
4,4,2019-01-01 13:42:07+00:00,"vz, verizon communications inc, d down vz tradingview","[19.38951087051417, 10.144375701562915, -10.83323007957106]"
5,5,2019-01-01 13:30:14+00:00,eps verizon communications inc. vz expected at .,"[31.34533952471895, 32.06646766744986, -10.42583003356421]"
6,6,2019-01-01 13:30:07+00:00,verizon communications inc. vz eps estimated at .,"[30.927016000830836, 22.266037728731128, -10.532989462859518]"
7,7,2019-01-01 13:30:01+00:00,verizon communications inc. vz analysts see . eps,"[32.323926084161734, 21.806968750099664, -10.608281567774455]"
8,8,2019-01-01 13:29:47+00:00,. eps expected verizon communications inc. vz,"[32.94666962413171, 32.50512152555295, -10.672820088912026]"
9,9,2019-01-01 10:04:08+00:00,"vz verizon communications inc. lost star, a star stock.","[30.489730134806916, 30.87816574524455, -11.210796726908939]"
10,10,2019-01-01 07:08:47+00:00,verizon communications inc. vz closes . down the day february vz stocks stockmarket,"[31.3143939066449, 12.46026664971459, -11.734417827723163]"
11,11,2019-01-01 05:53:08+00:00,it sucks there’s ongoing disagreement btwn verizon communications fios &amp; tegna station wvec tv hampton roads . so meant programming shown like new year’s rockin’ eve my parents’ tv. it blacked out. so tuned disney’s instead. loved,"[95.08279926988449, 85.53998421050089, -11.294091303306871]"
12,12,2019-01-02 23:40:24+00:00,traders buy verizon communications vz weakness,"[19.878744398531467, 10.587894415606865, -10.742786755837287]"
13,13,2020-09-25 21:11:59+00:00,"when stakes this big, need best researchers — the rigorous clinical trials.","[-2.4083426856689156, 7.718224746652268, -12.117240150960477]"
14,14,2019-01-02 23:37:34+00:00,investors buy shares verizon communications vz weakness markets,"[43.638487359328586, 24.289927718020067, 1.5319262263083573]"
15,15,2019-01-02 19:28:24+00:00,"here new ‘dogs the dow,’ simple investing strategy beat the market last year. international business machine ibm , exxon mobil verizon communications among thew new dogs .","[60.25966184345683, 61.277355301144524, -8.63131201713314]"
16,16,2019-01-02 17:58:33+00:00,dividend stocks great at&amp;t brookfield infrastructure partners l.p. caretrust reit ford motor company general motors company oneok terraform power verizon communications,"[67.78723259553547, 44.64524891038918, 1.2954444923988575]"
17,17,2019-01-02 15:35:29+00:00,verizon communications inc vz stock dropped . currently priced ..,"[51.27442118521834, 32.239075103654685, -10.510296769967056]"
18,18,2019-01-02 14:36:48+00:00,"bcintherdlane certainly brian, contacted social media team. i see previous message you have some difficulties redeeming a visa card. was card provided verizon wireless cellular , verizon communications residential ? follow us dm. ^ac","[136.8313887765536, 87.08756933949131, 14.87398525184038]"
19,19,2019-01-02 13:47:29+00:00,. eps expected verizon communications inc. vz,"[32.94666962413171, 32.50512152555295, -10.672820088912026]"
20,20,2019-01-02 13:47:10+00:00,eps verizon communications inc. vz expected at .,"[31.34533952471895, 32.06646766744986, -10.42583003356421]"
