,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 12:21:56+00:00,"product engineering support analyst volkswagen group canada inc. ajax on ""we currently looking a product engineering support analyst within group after sales division our corporate office ajax, on as product .. finance eluta","[17.863374082689138, 74.32934421299228, -9.593786694400947]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 12:18:44+00:00,"head digitalization volkswagen group canada inc. ajax on ""finance, audi canada, nar, vw headquarter porsche canada. partners it department develop required digital platforms. identify most relevant kpis m.. finance eluta","[76.35083107823671, 96.74693666211157, -8.910490231129486]"
3,3,2019-01-01 12:18:39+00:00,"senior accountant, electrify america volkswagen group canada inc. ajax, on ""are currently looking senior accountant, electrify america our corporate offices ajax, on as a driven dynamic accounting..."" oshawa eluta","[21.723253589868794, 67.223516990736, -10.495735553008416]"
4,4,2019-01-01 12:17:09+00:00,"head digitalization volkswagen group canada inc. ajax, on ""is one the exciting automotive brands the world our growth canada the last years been..."" eluta","[-6.08184013822932, 22.440065533343926, -10.445753443238672]"
5,5,2019-01-01 11:39:51+00:00,volkswagen group pubblica “electric charging fleets” rivolto ai manager flotte,"[32.5427348376957, 41.82685913059178, -10.057844800774141]"
6,6,2019-01-01 11:20:02+00:00,"happy new year, volks we wish all best the year ahead. we also look forward bringing a lot exciting informative developments the volkswagen group south africa . happynewyear","[16.55052239562632, 42.853246009339, -4.411370677285234]"
7,7,2019-01-01 09:24:02+00:00,dem zie i want buy volkswagen group,"[7.661223163343316, 18.59676378111338, -10.435016736878872]"
8,8,2019-01-01 01:11:52+00:00,volkswagen group empowers loyalty program octalysis gamification octalysis g...,"[8.495309804446798, 17.77943409734288, -10.84752780426831]"
9,9,2019-01-02 18:01:14+00:00,"vas equipment bench, universal jig touch electronic measuring system the spanesi equipment approved volkswagen group. bodyshop equipment smartrepair motorhour performance certified auto tech approved service specialist","[110.36184526643466, 83.31364593973862, 2.67426532992134]"
10,10,2019-01-02 17:04:06+00:00,"ya eu been broadly good ireland idk i t feel pumped celebrating that african south american wealth siphoned by eu tariff policy being funneled our road network volkswagen group would a new market, to flex the tans.","[112.60104161502389, 69.53560445982414, 1.831711350994496]"
11,11,2019-01-02 06:52:20+00:00,volkswagen group texts everyone knows its navy seals copypasta,"[20.648045448728393, 19.2298209965167, -10.862171476602022]"
12,12,2019-01-02 02:46:38+00:00,"audi, is owned the volkswagen group, recently pledged spend almost billion billion euros electric mobility self driving technology .","[74.81704230084709, 58.02506482316089, -9.536735272359763]"
13,13,2019-01-03 19:05:05+00:00,"volkswagen group ceo herbert diess dropped hints the german automaker potential partnership ford following meeting the white house tuesday. diess, together daimler boss dieter zetsche bmw group cfo nicolas","[47.03599375256933, 38.87029303677592, 2.8971815999721997]"
14,14,2019-01-03 16:27:25+00:00,volkswagen group ireland ltd volkswagen ireland renews ecogrant offer,"[20.92703620135799, 40.28641408964464, -10.211995480601395]"
15,15,2019-01-03 14:58:55+00:00,"if are wondering volkswagen group australia keeps delivering great customerexperience, s they also value employees have employeeexperience programs place. well done jasonsbradshaw the team at vw group aus…","[52.855120909498616, 86.541653025531, -8.888269916063436]"
16,16,2019-01-03 08:45:36+00:00,rt octalysisgroup volkswagen group empowers loyalty program octalysis gamification,"[8.495309804446798, 17.77943409734288, -10.84752780426831]"
17,17,2019-01-03 08:35:21+00:00,rt octalysisgroup volkswagen group empowers loyalty program octalysis gamification,"[8.495309804446798, 17.77943409734288, -10.84752780426831]"
18,18,2019-01-04 15:03:32+00:00,"the volkswagen touareg .l v tdi. hp lbf.ft torque, enough pull jetliner. solarhorss volkswagengroup volkswagengate diesel v tdi lagosnigeria g,…","[29.103378707830412, 32.473430814319116, -10.946987032586946]"
19,19,2019-01-04 14:58:33+00:00,paiviantikainen ”the volkswagen group aims increase number registered cng vehicles germany roughly one million . and that an affordable price. sounds like real alternative.” katjalohkosoner saarajskelinen,"[33.3974598184714, 59.46291077618888, -10.551857853459396]"
20,20,2019-01-04 07:49:58+00:00,"volkswagen – sao bernardo a subordinate company volkswagen group. it produced million vehicles the current fiscal, global projects aiming greater million. construction marketresearch aarkstoremarketresearch vw","[69.19249979169557, 70.81902385570045, 13.551366082262561]"
21,21,2019-01-04 03:55:09+00:00,"the volkswagen group audi porsche always first love, if can win, bill riley one nicest guys the sport. love the scheme that merc","[22.68546523362264, 45.05032405870094, -0.5424633021874286]"
22,22,2019-01-05 16:14:05+00:00,"owner finds multiple software bugs with his “lanborghini” urus lamborghini a history spontaneous combustion far italian automaker’s cars concerned. before the volkswagen group took control, even the… cars autos automotive","[38.369203084807786, 61.48589846152231, -9.887804378733748]"
23,23,2019-01-05 08:40:56+00:00,leesfiso hi sfiso. we commend charitable intent. our csr activity handled mainly our parent company – volkswagen group south africa. learn here – . /,"[36.959114660127405, 37.97060060137849, 2.7596294672139834]"
24,24,2019-01-06 13:10:32+00:00,"""error the art imperfection"" .. .. drive. volkswagen group forum, berlin, germany arselectronica vwgroup","[-0.8301296412346517, 27.075622447562928, -11.01651497412994]"
25,25,2019-01-06 08:33:00+00:00,"german state baden wuerttemberg sues vw damages faz file photo a volkswagen logo pictured the volkswagen group annual general meeting berlin, germany, may , .","[85.0613981998886, 84.15464448210778, -8.353522315462712]"
26,26,2019-01-07 16:33:59+00:00,"volkswagen group america, inc. volkswagen recalling certain volkswagen golf r vehicles. the fuel hose quick connector may detach the fuel supply line the engine bay, resulting a fuel leak.","[52.77154219001769, 51.3434444549206, 2.551616189317599]"
27,27,2019-01-07 16:27:51+00:00,. vertumotors appoints new head fleet volkswagen group division,"[-3.2923945135920105, 7.850509797004175, -11.278418223951306]"
28,28,2019-01-07 15:40:09+00:00,"allcar audi head powertrain development, stefan knirsch, quit amid accusations was involved the volkswagen group s...","[6.966170786864244, 19.24832567893784, -10.6009000840209]"
29,29,2019-01-07 10:32:32+00:00,"on back the continued expansion volkswagen group brands, blackwater motors group seek warranty advisor. for full details all our recruitment, click jobfairy corkjobs","[39.53247419950697, 56.16502943216563, -8.461076346804347]"
30,30,2019-01-07 07:18:49+00:00,scott keogh named new head volkswagen group america. supercar,"[19.837380168266694, 40.723500807344365, -10.123275446962666]"
31,31,2019-01-07 06:47:27+00:00,heikki anttila arcandrally trumpery tesla apple gerberkawasaki this one is whole volkswagen group,"[9.517261085863364, 18.500830686410175, -10.474506411592301]"
32,32,2019-01-07 06:09:01+00:00,"the german company planning introduce , , electric vehicle , ceo volkswagen group america said. ev renewables renewableenergy","[54.355496800610695, 52.18000673731323, 11.763604497061706]"
33,33,2019-01-08 23:12:02+00:00,"volkswagen all electric future on horizon. “by alone, anticipate four volkswagen group brands be ramping meb models worldwide, ranging compact cars the i.d. buzz van.” full story volkswagen timmons electric","[53.506349597031395, 32.09350555953148, -0.6195687301998731]"
34,34,2020-11-10 13:00:00+00:00,"kent state’s generous annual tradition, giving tuesday, begins week &amp; are kicking off big today “triple your gift tuesday ” all day today, gift any our featured funds be matched have triple impact students","[108.43336774495802, 123.8291474351237, -6.815477185326969]"
35,35,2019-01-08 15:54:17+00:00,volkswagen group volkswagen to become a power supplier,"[6.4895812096397565, 7.574909532544922, -10.748394204507711]"
36,36,2019-01-08 15:48:12+00:00,smartgrid volkswagen group sets new group company energy charging elli ...,"[20.97267483341273, 47.580037670081026, -9.6069551389038]"
37,37,2019-01-08 14:38:39+00:00,volkswagen group units new group firm vitality charging elli electriccars ev greencars hybridcars,"[22.8886822929755, 39.169632746065076, 0.2752269822357718]"
38,38,2019-01-08 14:14:31+00:00,"natural gas vehicles market major key players mercedes benz, audi ag, volkswagen group, great wall motors bitcoin journal","[75.98047136900053, 44.114440575570256, -11.083027724037649]"
39,39,2019-01-08 14:14:22+00:00,volkswagengroup sets new group company energy charging elli ev via greencarcongres,"[31.93983059542727, 37.77515021903142, 0.6510766279512694]"
40,40,2019-01-08 14:13:16+00:00,volkswagengroup sets new group company energy charging elli ev,"[22.95033087292487, 38.84336015491293, 0.31339354004412456]"
41,41,2019-01-08 11:43:54+00:00,"volkswagen ag today announced establishment a subsidiary energy offers charging solutions elli a brand the volkswagen group, headquartered berlin, develop products services the wolfsburg group s…","[55.718154810615836, 74.10518459214883, 2.389203654725037]"
42,42,2019-01-08 10:38:16+00:00,vertu motors appointed richard lawson oversee volkswagen group fleet provision increase profitability. vertu appoints richard lawson head fleet volkswagen group division,"[8.62715905444309, 29.836662343484697, -10.665912972095505]"
43,43,2019-01-08 10:37:06+00:00,vertu appoints richard lawson head fleet volkswagen group division,"[-3.1114201619081525, 8.715976712302833, -11.30144529576242]"
