,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:59:51+00:00,when i a kid i terrified getting lost walmart i thought kids all kidnapped at walmart.,"[23.40011119146543, 12.950629560961858, -11.246929906551912]"
1,1,2019-01-01 23:59:42+00:00,"realdonaldtrump and tariff chinese goods like sales tax when the goods sold walmart ""made in china"" many the communities trumpland only walmart shopping option, guess you imposed a ""tax"" a lot your ""base""","[57.88973410320468, 48.789975224309345, 15.135142975771984]"
2,2,2019-01-01 23:59:34+00:00,walmart tennessee volunteers,"[19.705543332676346, 0.18528907453391907, -11.504307340657384]"
3,3,2019-01-01 23:59:34+00:00,missimuffini well i bought headset walmart,"[8.743492330890621, -1.660037581968361, -11.262356619107436]"
4,4,2019-01-01 23:59:33+00:00,"cameronahmad it be interesting see add liar your resume. will you just state experience you misled canadians about years? that be problem, you applying that new job walmart tick tock cameron.","[84.38698729260422, 58.674169694549974, 3.046623113799214]"
5,5,2019-01-01 23:59:18+00:00,"products made china go, are listening walmart target kohls . we an opportunity americans make products america. not are consumers, have to be the manufacturers. start business year. chase help americans start businesses.","[83.83660638845221, 58.59199764111936, -8.876339734022295]"
6,6,2019-01-01 23:59:05+00:00,candrahastings walmart t refund the headset a different serial number the box,"[36.49965310971468, 6.887464234548219, 1.858452109327068]"
7,7,2019-01-01 23:58:50+00:00,sweepstakesmania giving away gift card walmart month,"[6.332413422327396, 9.125511366332645, -11.086848472709462]"
8,8,2019-01-01 23:58:21+00:00,look i found my local walmart. bts twt,"[9.449129513800859, 9.564406770678893, -10.691670828666993]"
9,9,2019-01-01 23:58:12+00:00,ledgewood walmart on death row supercenter approved,"[18.14607922944769, 0.2221486559347876, -12.253118157979095]"
10,10,2019-01-01 23:58:04+00:00,warriors walmart my favorite warriors moment,"[10.81865236904066, -1.4021438814664937, -12.184907261109188]"
11,11,2019-01-01 23:57:48+00:00,"paddlecamper shaunking walmart potus i could care less i get ""yelled"" at. this twitter. i never meet you. i never meet person ""yells"" me. this greatest forum the world sharing opinions no repercussions. example realdonaldtrump all the dumb shit tweets...","[49.74716667058038, 60.498055512725315, -0.3278428551428618]"
12,12,2019-01-01 23:57:36+00:00,caseyru yes. it more walmart. it’s real deal.,"[20.39466954724163, 20.159315859920177, -11.196837315968054]"
13,13,2019-01-01 23:57:34+00:00,no. catch at local walmart asleep the ball cage gripping onto titties dear life,"[24.759567088826845, -3.4743493513468597, -10.538536632171244]"
14,14,2019-01-01 23:57:28+00:00,"shenotkaaay thequeencourt running makes lose weight like crazy, get slim fast shakes walmart &amp; drink every morning weeks . you’ll see huge difference","[46.61148691813066, 9.35596081805194, -10.881625570064344]"
15,15,2019-01-01 23:57:26+00:00,abulxo start a buddy system,"[8.343950911902102, 8.51497364573451, -11.200780162546895]"
16,16,2019-01-01 23:57:16+00:00,walmart tamanna walmart thank for supporting gift is promisebyjimin jimin약속 bts twt jimin are proud you &amp; talents ️,"[35.27453996451708, 12.64527223737852, -14.667365133710703]"
17,17,2019-01-01 23:57:12+00:00,rbaldridge you give walmart brand kylee jenner vibes,"[10.024903251019989, 8.46403194346253, -11.665364597752713]"
18,18,2019-01-01 23:57:02+00:00,"redhotdealer meowmarjorie sherrycarter me my small grown medium last years, &amp; that’s a ladies medium a juniors but sizes days can’t trusted some those mediums walmart really xs my / jeans turned an xl some walmart sweatpants but can see like food","[92.04073041284293, 79.03815008166087, -7.063557264805425]"
19,19,2019-01-01 23:56:57+00:00,free walmart spray enter like retweet follow me winner picked hours fortnite happynewyear fortnitebr fortniteseason fortnitebattleroyale giveaway walmartfortnite walmartspray,"[60.294550759167066, 39.42067955284489, -9.532438096538996]"
20,20,2019-01-01 23:56:31+00:00,"tip , suggest basic chapstick you find local drugstore/walmart etc. personally, i’ve problems eos lip balms the past. would cause lot irritation, this could be allergic reaction. other words, know your balms xoxo","[57.862818116373, 32.604141565872126, -0.3699240950550262]"
21,21,2019-01-01 23:56:29+00:00,girl says locking heart for naw needs be legs open like doors walmart /,"[43.73952050906218, 8.386986379882714, -11.043470511879477]"
22,22,2019-01-01 23:56:23+00:00,shaunking pissedpolack walmart the description the suspect fits about every texas man a red truck.,"[53.1609308094077, 34.39054944850719, 13.998380185186988]"
23,23,2019-01-01 23:56:10+00:00,our walmart didn’t any those pokémon cookies,"[7.880049291441556, 7.004945057146415, -10.724091478054376]"
24,24,2019-01-01 23:55:58+00:00,trippin did i just remember the weston walmart subway a long ass time ago,"[25.379095144292418, 16.533415323082366, -9.70804254760462]"
25,25,2019-01-01 23:55:53+00:00,ive never seen walmart a bk,"[7.341069036031262, -0.9419140965930954, -11.140179336384655]"
26,26,2019-01-01 23:55:49+00:00,walmart isn’t only retailer already winning,"[18.388975744112773, 9.794428141302667, -10.793930288006834]"
27,27,2019-01-01 23:55:38+00:00,"brianna who you fan of, brianna?","[-1.033774011521323, -2.8998713285372237, -11.48640481363693]"
28,28,2019-01-01 23:55:34+00:00,"ybncordae lol u got money homie, buy shits. u get whole set like walmart. ‍️‍️","[6.720338058360132, 6.091199018854496, -9.985701466858345]"
29,29,2019-01-01 23:55:29+00:00,"natetylerdogg got em walmart today, never tried them, had small bite had captain crunch taste it","[20.269770263628292, 19.408141631517623, -10.771692377882758]"
30,30,2019-01-01 23:55:18+00:00,designationsix disney mypillowusa nestle walmart sharperimage starkist duluthtradingco bestwestern enterprise nerdwallet redlobster gothamsteel petsmart chewy aarp ihop c’mon chewy petsmart don’t lose customers this..,"[54.71546775285481, 34.82483626061752, -10.72450318523174]"
31,31,2019-01-01 23:55:13+00:00,kamalaharris walmart that a lot less maybe need common sense. at rate is the government job provide healthcare. as adults is own responsibility.,"[47.973625294034356, 41.442729265567664, 2.305804297528468]"
32,32,2019-01-01 23:55:03+00:00,"smh does walmart take apple pay. see could had whole transcation, i willing be citizen today instead got robbed cus i didnt my wallet. jokes them janst","[45.91623126834484, 27.451386418988264, 2.6761572633115946]"
33,33,2019-01-01 23:54:47+00:00,pewdiepie turn walmart a mountain,"[18.111113563209674, -0.19259888012886295, -11.170545301359347]"
34,34,2019-01-01 23:54:43+00:00,i can’t think a awkward feeling sitting while walmart pickup order loaded your car.,"[47.892562920645204, 11.767029731382607, -10.848212108573676]"
35,35,2019-01-01 23:54:30+00:00,i can’t not stop wawa everytime i go walmart,"[16.510263307797715, 0.8652046270654803, -11.26374756607796]"
36,36,2019-01-01 23:54:21+00:00,"i liked youtube video super mega ""i about to have baby "" grocery shopping haul | walmart pick up |","[23.133574146817285, 25.78761886983945, -10.601989868322491]"
