,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:51:55+00:00,"c mon wellsfargo credit card pizza pool float ad, tip the delivery guy ? via youtube","[38.20265415232854, 59.675839367296476, -8.829110596003403]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 23:51:14+00:00,"roseparade wellsfargo annemarie this sucked bad. i wanted see floats bands, some unknown person lipsyncing.","[6.105120254610459, -2.2135955656212407, -13.030693226708465]"
3,3,2019-01-01 23:49:49+00:00,"glennthrush gm makes plans close auto plants, harley davidson moving production overseas, carrier still moving mexico, wells fargo bank laying s thousands moving operations offshore, wall street biggest december decline since , whatev say.","[98.39182321360076, 63.30023478331482, 2.0176701423391563]"
4,4,2019-01-01 23:46:29+00:00,who says elizabeth warren unlikeable? maybe wells fargo executive rightfully skewered a senate hearing?,"[18.28720035175691, 18.59355005825235, -9.898027872689696]"
5,5,2019-01-01 23:46:22+00:00,malickviews wells fargo agrees million settlement affecting states wake fake accounts via usatoday,"[38.97665289629491, 20.607642737840543, -10.721637758288637]"
6,6,2019-01-01 23:45:02+00:00,latimes i cannot understand wells fargo still allowed be business. only explanation corruption.,"[7.168364174610663, 11.566610439510079, -11.335918463100853]"
7,7,2019-01-01 23:44:29+00:00,wells fargo debt collection calls spark class action lawsuit,"[18.518468846929355, 1.5357530495948803, 0.4504230339145323]"
8,8,2019-01-01 23:43:09+00:00,it and wells fargo still bank,"[-2.674072511551418, -2.421516835941706, -11.131994690677043]"
9,9,2019-01-01 23:42:36+00:00,wellsfargo third largest us bank systematically scammed own customers to . it opened . million unauthorized bank credit card accounts customers’ names illegally charged clients financial services never signed for. bankrun,"[103.4996934798374, 95.04287314928379, -7.733199971936372]"
10,10,2019-01-01 23:42:11+00:00,it and wells fargo still bank,"[-2.674072511551418, -2.421516835941706, -11.131994690677043]"
11,11,2019-01-01 23:41:33+00:00,shannonlukens ask wellsfargo so annoying,"[-2.7876176603718603, -0.360161728432534, -13.264776074885503]"
12,12,2019-01-01 23:40:04+00:00,"""they destroyed me."" wells fargo mistake forced to sell home","[39.615386069761186, 11.986468576496854, -0.09902761002569349]"
13,13,2019-01-01 23:38:30+00:00,yo fuck wellsfargo,"[-0.24159916541508442, -1.01518453090292, -12.057619183376238]"
14,14,2019-01-01 23:38:02+00:00,"more customers sharing stories wellsfargo ""computer glitch"" caused lose homes. michaela lost battle to save vegas home. five years later, the bank admits made mistake. ""you t put price what lost.""","[78.61932463267968, 59.87380887058025, 1.4511460974928667]"
15,15,2019-01-01 23:33:03+00:00,what better way begin year wellsfargo decline transactions due fraud alert. the trans cause alert a autopayment s going thru years. nothing like embarrassed not able spend own,"[44.16205614586591, 39.383928044233656, -9.719490012222352]"
16,16,2019-01-01 23:32:42+00:00,"java developer apps systems engineer java/jee developer – apps systems engineer description wells fargo skip main content close – careers home – about us – about us overview – who we are overview – vision, values, goals overview –…","[66.99530471785694, 129.63282423025674, 51.289174729263365]"
17,17,2019-01-01 23:30:51+00:00,fuck wellsfargo burn in a fiery hell you fucking assholes,"[18.534732865262644, 1.563900992651639, -0.7756089697806274]"
18,18,2019-01-01 23:29:17+00:00,"donnelly espnjudd on top wells fargo building, inside the ids crystal court, red bull’s crashed ice track...","[18.001996361035022, 18.341223059446385, -10.903427468926964]"
19,19,2019-01-01 23:29:03+00:00,wellsfargo haaaahahaha do business bandits?,"[-3.0760530180708647, 7.400600479284549, -10.990628647908984]"
20,20,2019-01-01 23:20:58+00:00,getting rid my wells fargo savings ... that’s done .,"[19.130688939781546, 11.285652309762462, -11.004559130784713]"
21,21,2019-01-01 23:18:24+00:00,fines settlements since paid wells fargo bank,"[-4.344951154504453, -3.591793769201271, -10.901243918727051]"
22,22,2019-01-01 23:17:49+00:00,wyshynski that less the wells fargo center regular season games,"[5.580662287408583, 17.487602659649767, -10.44515985783292]"
23,23,2019-01-01 23:17:40+00:00,onemycelium savagejoymarie rtyson if wells fargo given campaign contribution kamalaharris like stevenmnuchin,"[19.786610674077217, 10.526907089297673, -10.96524009064072]"
24,24,2019-01-01 23:17:05+00:00,be leaving wellsfargo good if believe good financial future will follow lead.,"[10.567168220107657, 5.815957626413606, -13.096739231221179]"
25,25,2019-01-01 23:16:15+00:00,theyre evil this y need bank regulators notice . mil they’re getting gop tax cut to lay k ‘they destroyed me.’ wells fargo’s mistake forced to sell home. the washington post,"[114.20737572475221, 44.19175506061451, 1.967313252424546]"
